"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2","tau_m_investment","tau_m_social","tau_m_ex_inv","tau_m_ex_soc","tau_f_investment","tau_f_social","tau_f_ex_inv","tau_f_ex_soc","tau_both_investment","tau_both_social","tau_both_ex_inv","tau_both_ex_soc","relative_present","informal_invest","formal_invest","relative_invest","formal","relative","informal","tau_m_socinvest","tau_f_socinvest","tau_both_socinvest"
"396",344186,1997,38,12.5,40,38,12.5,22.5,9.5,27.5,10.5,8,3.5,8,4.5,24.5,9.5,29.5,10.5,0,0,0,0,22.5,0,0,38,12.5,40
"397",350030,1997,43.1666666666667,27.9166666666667,53.75,33.1666666666667,22.9166666666667,8.75,12.3333333333333,8.75,13.1666666666667,11.75,10.8333333333333,11.75,11.1666666666667,14.3333333333333,12.3333333333333,14.3333333333333,13.1666666666667,0,2.83333333333333,0,0,0,0,4.83333333333333,21.9166666666667,22.9166666666667,27.5
"398",350030,2002,29.7833333333333,35.4833333333333,35.6166666666667,26.0333333333333,31.7333333333333,7.16666666666667,9.43333333333333,7.3,9.56666666666667,7.16666666666667,13.6,7.16666666666667,15.4,7.16666666666667,13.6,7.3,15.4,0,0,0,0,0,0,2.93333333333333,16.8666666666667,22.5666666666667,22.7
"399",350030,2007,24.25,20.5,24.25,24.25,20.5,0,7.5,0,11.25,0,7.5,0,7.5,0,7.5,0,11.25,5.75,7.5,0,0,0,1.25,8.41666666666667,11.25,7.5,11.25
"400",350031,1997,37.5,23.1666666666667,41.1666666666667,32.5,21.1666666666667,7.41666666666667,15.25,7.41666666666667,15.9166666666667,4.41666666666667,13.75,5.08333333333333,14.4166666666667,8.08333333333333,15.25,8.75,16.25,0,4.66666666666667,0,0,0,0,4.66666666666667,23.3333333333333,19.5,25
"401",350031,2002,31.1166666666667,33.4833333333333,33.6166666666667,27.3666666666667,29.7333333333333,7.16666666666667,10.4333333333333,7.3,10.9,7.16666666666667,12.1,7.16666666666667,12.5666666666667,7.16666666666667,12.1,7.3,12.5666666666667,0,0,0,0,0,0,2.93333333333333,18.2,19.7333333333333,19.8666666666667
"402",350031,2007,29.25,23,31.75,29.25,23,2.5,10,2.5,13.75,2.5,7.5,2.5,7.5,5,10,5,13.75,4.5,3.75,0,0,0,0,3.75,16.25,10,18.75
"403",351037,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24.6666666666667,0,0,0
"404",351037,2002,13.9166666666667,0,13.9166666666667,6.66666666666667,0,2,0.666666666666667,2,0.666666666666667,0,0,0,0,2,0.666666666666667,2,0.666666666666667,42.1666666666667,0,0,0,0,17.5,3.08333333333333,2.66666666666667,0,2.66666666666667
"405",351038,1997,21.25,39.25,45,17.25,21.5,8,2,10.75,2,14.25,4.5,17,4.5,14.25,4.5,18.25,4.5,8,0,0,0,0,0,0,12.75,21.5,22.75
"406",351038,2002,6.33333333333333,2.5,8.83333333333333,0,2.5,0,0,0,0,2.5,0,2.5,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,2.5,2.5
"407",351039,1997,78.3333333333333,37,78.3333333333333,71.3333333333333,37,36.6166666666667,7,44.1333333333333,7,18.7833333333333,4.5,25.7166666666667,4.5,36.6166666666667,7,44.1333333333333,7,6.9,0,0,0,0,0,0,51.1333333333333,30.2166666666667,51.1333333333333
"408",351039,2007,36.8333333333333,0,36.8333333333333,23.9166666666667,0,0,10,2.5,14.5166666666667,0,0,0,0,0,10,2.5,14.5166666666667,0,0,0,0,0,0,14.25,17.0166666666667,0,17.0166666666667
"409",354031,1997,27.75,22,41.0833333333333,27.75,22,7.66666666666667,6.5,9.91666666666667,6.5,11.8333333333333,3.16666666666667,15.3333333333333,3.16666666666667,18.5,6.5,23.25,6.5,19.5,0,0,0,38.75,0,0,16.4166666666667,18.5,29.75
"410",354031,2002,35.9166666666667,0,35.9166666666667,25.6666666666667,0,14.6666666666667,5.16666666666667,15.5833333333333,5.16666666666667,0,0,0,0,14.6666666666667,5.16666666666667,15.5833333333333,5.16666666666667,0,0,0,0,9.58333333333333,0,2.91666666666667,20.75,0,20.75
"411",354031,2007,13.7333333333333,0,13.7333333333333,11.7333333333333,0,3.75,6.98333333333333,3.75,6.98333333333333,0,0,0,0,3.75,6.98333333333333,3.75,6.98333333333333,0,0,0,0,0,0,3.33333333333333,10.7333333333333,0,10.7333333333333
"412",355031,1997,3.08333333333333,0,3.08333333333333,3.08333333333333,0,0,1,1.91666666666667,1,0,0,0,0,0,1,1.91666666666667,1,7,11.8333333333333,0,7,0,7,20.5833333333333,2.91666666666667,0,2.91666666666667
"413",355031,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16666666666667,0,0,0
"414",355032,1997,8.08333333333333,5.68333333333333,12.5166666666667,8.08333333333333,3.01666666666667,1.33333333333333,2.5,4.66666666666667,2.5,0,2.33333333333333,0.416666666666667,2.6,1.33333333333333,4,4.66666666666667,4.26666666666667,4.58333333333333,0,0,0,0,2.5,0,7.16666666666667,3.01666666666667,8.93333333333333
"415",355032,2002,12.5833333333333,22.6666666666667,22.9166666666667,2.58333333333333,6.66666666666667,0,2.58333333333333,0,2.58333333333333,3.83333333333333,2.33333333333333,3.83333333333333,2.83333333333333,3.83333333333333,2.58333333333333,3.83333333333333,3.08333333333333,0,0,0,0,0,0,4.41666666666667,2.58333333333333,6.66666666666667,6.91666666666667
"416",355033,1997,19.3666666666667,4.75,22.0333333333333,19.3666666666667,2.08333333333333,3.91666666666667,7.45,8.08333333333333,8.11666666666667,0.666666666666667,1,0.666666666666667,1,3.91666666666667,7.45,8.08333333333333,8.11666666666667,11.6666666666667,0,0,2.91666666666667,19.5833333333333,6.25,1.25,16.2,1.66666666666667,16.2
"417",355033,2002,11.4666666666667,12.3166666666667,17.8,4.8,8.65,0,3.88333333333333,0.416666666666667,4.38333333333333,3.83333333333333,3.81666666666667,3.83333333333333,4.81666666666667,3.83333333333333,3.88333333333333,4.25,4.88333333333333,0.833333333333333,0,0,0,0,0.833333333333333,2.56666666666667,4.8,8.65,9.13333333333333
"418",355033,2007,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0,0.833333333333333,0,0.833333333333333,0,0,0,0,0,0.833333333333333,0,0.833333333333333,0,15.4166666666667,0,0,0,0,29.1666666666667,0.833333333333333,0,0.833333333333333
"419",356031,1997,19.3333333333333,16,27.1666666666667,19.3333333333333,16,7.25,5.76666666666667,7.25,5.76666666666667,7.66666666666667,4.1,7.66666666666667,4.1,14.9166666666667,5.76666666666667,14.9166666666667,5.76666666666667,0,0,0,0,0,0,41.6666666666667,13.0166666666667,11.7666666666667,20.6833333333333
"420",356031,2002,6.75,8.33333333333333,12.0833333333333,5.48333333333333,3,1.23333333333333,2.83333333333333,1.23333333333333,3,0,2.83333333333333,0,3,1.23333333333333,2.83333333333333,1.23333333333333,3,0,0,0,0,0,0,11.1666666666667,4.23333333333333,3,4.23333333333333
"421",356031,2007,23.1,19.7833333333333,32.3166666666667,7.81666666666667,3.23333333333333,2.85,0.666666666666667,3.68333333333333,0.966666666666667,2.9,0,2.93333333333333,0.3,3.81666666666667,0.666666666666667,4.68333333333333,0.966666666666667,0,0,0,0,0,0,4.25,4.65,3.23333333333333,5.65
"422",356032,1997,35.5,6.25,36.5,35.5,6.25,22.75,9.5,26,9.5,6.25,0,6.25,0,23.75,9.5,27,9.5,4,18.75,0,0,0,0,21.25,35.5,6.25,36.5
"423",356032,2002,10.5,7.83333333333333,12.5,8.16666666666667,5.5,3.33333333333333,4,3.33333333333333,4,1,4.5,1,4.5,4.33333333333333,5,4.33333333333333,5,0,0,0,0,0,0,11.4166666666667,7.33333333333333,5.5,9.33333333333333
"424",356032,2007,11.4166666666667,20.75,23.4166666666667,7.08333333333333,17.4166666666667,2.16666666666667,4.91666666666667,2.16666666666667,4.91666666666667,11.5,5.91666666666667,11.5,5.91666666666667,13.1666666666667,5.91666666666667,13.1666666666667,5.91666666666667,7.5,0,0,5.5,0,7.5,4.16666666666667,7.08333333333333,17.4166666666667,19.0833333333333
"425",361176,1997,5.66666666666667,2.5,6.91666666666667,5.66666666666667,2.5,0.416666666666667,2.31666666666667,1.25,2.75,0,2.5,0,2.5,0.416666666666667,3.56666666666667,1.25,4,0,0,0,0,0,0,0,4,2.5,5.25
"426",361176,2002,15.6666666666667,18.25,18.9166666666667,5.66666666666667,8.25,0,4,0,5.66666666666667,1.25,4,1.25,5,1.25,4,1.25,5.66666666666667,3,0,0,0,0,3,9.83333333333333,5.66666666666667,6.25,6.91666666666667
"427",368032,1997,32.25,13.1,44.0166666666667,32.25,8.93333333333333,7.33333333333333,3.75,7.33333333333333,4.25,5.43333333333333,0.833333333333333,5.43333333333333,1,12.4333333333333,3.75,12.4333333333333,4.25,0,0,0,0,0,0,0,11.5833333333333,6.43333333333333,16.6833333333333
"428",368032,2002,13.75,7.96666666666667,15.15,7.75,2.96666666666667,1.33333333333333,2.41666666666667,5.23333333333333,2.41666666666667,1.06666666666667,1.5,1.46666666666667,1.5,2.4,2.41666666666667,6.63333333333333,2.41666666666667,0,2.5,0,0,0,0,7.25,7.65,2.96666666666667,9.05
"429",368032,2007,12.9,11.8333333333333,20.3333333333333,9.31666666666667,9.73333333333333,4.16666666666667,3.73333333333333,5.41666666666667,3.9,3.66666666666667,3.73333333333333,5.66666666666667,3.73333333333333,7.83333333333333,3.73333333333333,11.0833333333333,3.9,0,3.75,0,0,0,0,10.1666666666667,9.31666666666667,9.4,14.9833333333333
"430",374030,1997,38.1666666666667,39.5,66,37.5,39.5,8.83333333333333,14.6666666666667,10.9166666666667,15.5,13.5,11.3333333333333,13.8333333333333,12.5833333333333,19,19.6666666666667,21.4166666666667,21.75,7,2.5,0,0,0,0,2.5,26.4166666666667,26.4166666666667,43.1666666666667
"431",374030,2002,15.5,13.8333333333333,16.3333333333333,10.5,8.83333333333333,2.5,6.66666666666667,2.5,6.66666666666667,0,6.66666666666667,0.833333333333333,6.66666666666667,2.5,6.66666666666667,3.33333333333333,6.66666666666667,0,18.3333333333333,0,0,0,0,20.9166666666667,9.16666666666667,7.5,10
"432",374030,2007,16.5,24,24,9,16.5,0,4.5,1.66666666666667,4.5,0,4.5,1.66666666666667,4.5,0,4.5,1.66666666666667,4.5,0,0,0,0,0,0,0,6.16666666666667,6.16666666666667,6.16666666666667
"433",377030,1997,25.9166666666667,42.3333333333333,43.4166666666667,25.9166666666667,39.8333333333333,15.5,1.5,16.5,1.5,27.3333333333333,4,28.3333333333333,4,28,4,29,4,0,15.4166666666667,0,0,0,0,21.6666666666667,18,32.3333333333333,33
"434",377030,2002,23.25,29.9166666666667,31.1666666666667,23.25,29.9166666666667,3.5,8.75,8.33333333333333,14.9166666666667,8.08333333333333,10.8333333333333,12.9166666666667,17,8.08333333333333,10.8333333333333,14.1666666666667,17,0,0,0,0,0,0,2.08333333333333,23.25,29.9166666666667,31.1666666666667
"435",377031,1997,22.5,39.3333333333333,40,22.5,36.8333333333333,13,1.5,13,2,24.8333333333333,4,24.8333333333333,4.5,25.5,4,25.5,4.5,0,16.6666666666667,0,0,0,0,25,15,29.3333333333333,30
"436",377031,2002,14.1666666666667,23.75,30.4166666666667,14.1666666666667,23.75,0,1.66666666666667,5.33333333333333,6.33333333333333,11.1666666666667,3.58333333333333,11.5,8.25,11.1666666666667,5.25,16.5,9.91666666666667,0,0,0,0,0,0,10.8333333333333,11.6666666666667,19.75,26.4166666666667
