"","MID","FID","earn","earnu","wage","ww","hw","year","hrs"
"546",88030,88030,0,0,NA,0,0,1997,0
"547",88031,88031,500,6,1.33,25,15,1997,375
"548",88032,88032,0,0,NA,0,0,1997,0
"549",88033,88033,0,0,NA,0,0,1997,0
"550",88034,88034,0,0,NA,0,0,1997,0
"551",88035,88035,0,0,NA,0,0,1997,0
"552",88036,88036,0,0,NA,0,0,1997,0
"553",88170,88170,NA,9,NA,52,55,1997,2860
"554",88171,88171,22000,6,14.1,52,30,1997,1560
"555",88174,88174,0,0,NA,0,0,1997,0
"556",88178,88178,12000,6,NA,NA,NA,1997,NA
"557",88179,88179,5400,6,6,36,25,1997,900
"558",88180,88180,0,0,NA,0,0,1997,0
"559",88181,88181,0,0,NA,0,0,1997,0
"560",88182,88182,NA,9,NA,44,45,1997,1980
"561",88183,88183,0,0,NA,0,0,1997,0
"562",88184,88184,0,0,NA,0,0,1997,0
"563",88185,88185,0,0,NA,0,0,1997,0
"564",88186,88186,13000,6,5,52,50,1997,2600
"565",88187,88187,0,0,NA,0,0,1997,0
"566",88188,88188,0,0,NA,0,0,1997,0
"567",88189,88189,0,0,NA,0,0,1997,0
"568",88190,88190,0,0,NA,0,0,1997,0
"569",89001,89001,0,0,NA,0,0,1997,0
"570",89002,89002,0,0,NA,0,0,1997,0
"571",89003,89003,34000,6,17.89,50,38,1997,1900
"572",89004,89004,17000,6,8.17,52,40,1997,2080
"573",89005,89005,28000,6,14.58,48,40,1997,1920
"574",89006,89006,29000,6,11.6,50,50,1997,2500
"575",89030,89030,0,0,NA,0,0,1997,0
"576",89031,89031,10000,6,8.33,40,30,1997,1200
"577",89032,89032,0,0,NA,0,0,1997,0
"578",89033,89033,0,0,NA,0,0,1997,0
"579",89034,89034,0,0,NA,0,0,1997,0
"580",89035,89035,0,0,NA,0,0,1997,0
"581",89036,89036,0,0,NA,0,0,1997,0
"582",89170,89170,30000,6,12,50,50,1997,2500
"583",89171,89171,0,0,NA,0,0,1997,0
"584",89174,89174,0,0,NA,0,0,1997,0
"585",89178,89178,0,0,NA,0,0,1997,0
"586",89179,89179,27000,6,12.98,52,40,1997,2080
"587",89180,89180,0,0,NA,0,0,1997,0
"588",89181,89181,0,0,NA,0,0,1997,0
"589",90001,90001,48000,6,25.53,47,40,1997,1880
"590",90002,90002,230000,6,92,50,50,1997,2500
"591",90003,90003,35000,6,16.03,52,42,1997,2184
"592",90004,90004,30000,6,15.63,48,40,1997,1920
"593",90030,90030,0,0,NA,0,0,1997,0
"594",90031,90031,0,0,NA,0,0,1997,0
"595",90032,90032,0,0,NA,0,0,1997,0
"596",90170,90170,230000,6,92,50,50,1997,2500
"597",90171,90171,25000,6,13.3,47,40,1997,1880
"598",90172,90172,50000,6,20.03,52,48,1997,2496
"599",90173,90173,35000,6,21.34,41,40,1997,1640
"600",91002,91002,41000,6,24.62,37,45,1997,1665
"601",91003,91003,12200,6,43.57,7,40,1997,280
"602",91030,91030,0,0,NA,0,0,1997,0
"603",91031,91031,0,0,NA,0,0,1997,0
"604",91032,91032,0,0,NA,0,0,1997,0
"605",91170,91170,34000,6,16.35,52,40,1997,2080
"606",91171,91171,0,0,NA,0,0,1997,0
"607",92003,92003,31000,6,12.92,40,60,1997,2400
"608",92031,92031,0,0,NA,0,0,1997,0
"609",92171,92171,0,0,NA,0,0,1997,0
"610",96001,96001,25000,6,15.94,49,32,1997,1568
"611",96002,96002,0,0,NA,0,0,1997,0
"612",96003,96003,NA,9,NA,NA,NA,1997,NA
"613",96005,96005,14000,6,7.57,50,37,1997,1850
"614",96006,96006,23000,6,11.06,52,40,1997,2080
"615",96030,96030,0,0,NA,0,0,1997,0
"616",96031,96031,0,0,NA,0,0,1997,0
"617",96032,96032,0,0,NA,0,0,1997,0
"618",96033,96033,0,0,NA,0,0,1997,0
"619",96034,96034,0,0,NA,0,0,1997,0
"620",96170,96170,60000,6,26.83,52,43,1997,2236
"621",96173,96173,62000,6,23.85,50,52,1997,2600
"622",96175,96175,30000,6,15,50,40,1997,2000
"623",98001,98001,0,0,NA,0,0,1997,0
"624",99001,99001,27000,6,16.92,38,42,1997,1596
"625",99030,99030,0,0,NA,0,0,1997,0
"626",99031,99031,26000,6,16.25,40,40,1997,1600
"627",99032,99032,0,0,NA,0,0,1997,0
"628",99033,99033,0,0,NA,0,0,1997,0
"629",99170,99170,0,0,NA,0,0,1997,0
"630",99171,99171,4000,6,10,20,20,1997,400
"631",99172,99172,0,0,NA,0,0,1997,0
"632",100001,100001,8000,6,5.26,38,40,1997,1520
"633",100020,100020,22000,6,10.58,52,40,1997,2080
"634",100030,100030,22500,6,9,50,50,1997,2500
"635",100031,100031,0,0,NA,0,0,1997,0
"636",100170,100170,0,0,NA,0,0,1997,0
"637",100171,100171,0,0,NA,0,0,1997,0
"638",104001,104001,43000,6,20.67,52,40,1997,2080
"639",104002,104002,32000,6,16.67,48,40,1997,1920
"640",104171,104171,0,0,NA,0,0,1997,0
"641",104175,104175,0,0,NA,0,0,1997,0
"642",104176,104176,0,0,NA,0,0,1997,0
"643",104177,104177,0,0,NA,0,0,1997,0
"644",104178,104178,0,0,NA,0,0,1997,0
"645",105004,105004,30000,6,15.63,48,40,1997,1920
"646",105030,105030,75,3,10.71,15,7,1997,105
"647",105031,105031,25000,6,14.88,42,40,1997,1680
"648",105034,105034,3000,6,NA,NA,40,1997,NA
"649",105035,105035,0,0,NA,0,0,1997,0
"650",105036,105036,0,0,NA,0,0,1997,0
"651",105037,105037,0,0,NA,0,0,1997,0
"652",105038,105038,0,0,NA,0,0,1997,0
"653",105039,105039,0,0,NA,0,0,1997,0
"654",105040,105040,0,0,NA,0,0,1997,0
"655",105041,105041,0,0,NA,0,0,1997,0
"656",105042,105042,0,0,NA,0,0,1997,0
"657",105180,105180,NA,9,NA,24,40,1997,960
"658",105181,105181,0,0,NA,0,0,1997,0
"659",106001,106001,4500,6,3.6,25,50,1997,1250
"660",106003,106003,0,0,NA,0,0,1997,0
"661",106031,106031,0,0,NA,0,0,1997,0
"662",106032,106032,0,0,NA,0,0,1997,0
"663",106173,106173,12000,6,6.12,49,40,1997,1960
"664",106179,106179,0,0,NA,0,0,1997,0
"665",106180,106180,0,0,NA,0,0,1997,0
"666",106181,106181,0,0,NA,0,0,1997,0
"667",106182,106182,0,0,NA,0,0,1997,0
"668",113001,113001,30000,6,13.33,50,45,1997,2250
"669",113002,113002,6300,6,4.77,44,30,1997,1320
"670",113030,113030,6000,6,4.08,46,32,1997,1472
"671",113031,113031,2700,6,4.5,30,20,1997,600
"672",113032,113032,0,0,NA,0,0,1997,0
"673",113172,113172,22000,6,10.58,52,40,1997,2080
"674",114003,114003,42000,6,21.43,49,40,1997,1960
"675",114021,114021,65000,6,22.57,48,60,1997,2880
"676",114030,114030,0,0,NA,0,0,1997,0
"677",114031,114031,0,0,NA,0,0,1997,0
"678",114032,114032,0,0,NA,0,0,1997,0
"679",114033,114033,0,0,NA,0,0,1997,0
"680",114034,114034,0,0,NA,0,0,1997,0
"681",114035,114035,0,0,NA,0,0,1997,0
"682",114036,114036,0,0,NA,0,0,1997,0
"683",114170,114170,21000,6,12.24,49,35,1997,1715
"684",114173,114173,6000,6,5.22,46,25,1997,1150
"685",114175,114175,0,0,NA,0,0,1997,0
"686",114176,114176,0,0,NA,0,0,1997,0
"687",114177,114177,0,0,NA,0,0,1997,0
"688",117001,117001,42000,6,17.5,48,50,1997,2400
"689",117003,117003,0,0,NA,0,0,1997,0
"690",117030,117030,12000,6,5.77,52,40,1997,2080
"691",117031,117031,0,0,NA,0,0,1997,0
"692",117032,117032,0,0,NA,0,0,1997,0
"693",117033,117033,0,0,NA,0,0,1997,0
"694",117034,117034,0,0,NA,0,0,1997,0
"695",117035,117035,0,0,NA,0,0,1997,0
"696",117171,117171,45000,6,22.5,50,40,1997,2000
"697",117172,117172,21000,6,12.5,42,40,1997,1680
"698",119001,119001,25000,6,12.76,49,40,1997,1960
"699",119002,119002,0,0,NA,0,0,1997,0
"700",119030,119030,0,0,NA,0,0,1997,0
"701",119031,119031,0,0,NA,0,0,1997,0
"702",119032,119032,0,0,NA,0,0,1997,0
"703",119033,119033,0,0,NA,0,0,1997,0
"704",119034,119034,0,0,NA,0,0,1997,0
"705",119171,119171,0,0,NA,0,0,1997,0
"706",121001,121001,0,0,NA,0,0,1997,0
"707",121002,121002,0,0,NA,0,0,1997,0
"708",121003,121003,13000,6,9.76,36,37,1997,1332
"709",121004,121004,60000,6,24.49,49,50,1997,2450
"710",121006,121006,52000,6,19.23,52,52,1997,2704
"711",121007,121007,2000,6,125,4,4,1997,16
"712",121030,121030,0,0,NA,0,0,1997,0
"713",121032,121032,0,0,NA,0,0,1997,0
"714",121033,121033,0,0,NA,0,0,1997,0
"715",121034,121034,0,0,NA,0,0,1997,0
"716",121036,121036,0,0,NA,0,0,1997,0
"717",121037,121037,0,0,NA,0,0,1997,0
"718",121038,121038,0,0,NA,0,0,1997,0
"719",121170,121170,32000,6,15.38,52,40,1997,2080
"720",121171,121171,207000,6,82.8,50,50,1997,2500
"721",121173,121173,0,0,NA,0,0,1997,0
"722",122001,122001,23000,6,11.06,52,40,1997,2080
"723",122003,122003,40000,6,15.69,51,50,1997,2550
"724",122004,122004,38000,6,15.2,50,50,1997,2500
"725",122033,122033,15000,6,7.21,52,40,1997,2080
"726",122034,122034,0,0,NA,0,0,1997,0
"727",122036,122036,0,0,NA,0,0,1997,0
"728",122037,122037,0,0,NA,0,0,1997,0
"729",122038,122038,0,0,NA,0,0,1997,0
"730",122039,122039,0,0,NA,0,0,1997,0
"731",122040,122040,0,0,NA,0,0,1997,0
"732",122041,122041,0,0,NA,0,0,1997,0
"733",122170,122170,17000,6,8.17,52,40,1997,2080
"734",122171,122171,30,6,0.02,40,50,1997,2000
