"","KID","MID"
"533",880030,880175
"534",880031,880175
"535",880033,880174
"536",891031,891177
"537",891032,891177
"538",893031,893170
"539",893032,893170
"540",897034,897171
"541",897035,897032
"542",898033,898181
"543",898034,898181
"544",898035,898005
"545",899032,899175
"546",899033,899177
"547",908036,908006
"548",908037,908006
"549",909032,909003
"550",910036,910174
"551",913031,913173
"552",915030,915004
"553",915031,915005
"554",915032,915005
"555",915033,915172
"556",915034,915004
"557",915035,915172
"558",916036,916031
"559",916184,916170
"560",920030,920170
"561",920031,920170
"562",922031,922004
"563",922032,922170
"564",922033,922170
"565",922034,922004
"566",922035,922030
"567",922036,922005
"568",931032,931030
"569",931033,931030
"570",935030,935004
"571",935031,935003
"572",935032,935003
"573",935034,935004
"574",939033,939031
"575",941034,941004
"576",941037,941031
"577",941038,941186
"578",941039,941031
"579",941184,941003
"580",941187,941186
"581",946030,946172
"582",952032,952003
"583",961034,961005
"584",961035,961005
"585",961036,961031
"586",961037,961003
"587",961038,961003
"588",964032,964004
"589",964035,964004
"590",970032,970003
"591",970033,970171
"592",971030,971171
"593",976033,976172
"594",980030,980003
"595",980031,980003
"596",982032,982003
"597",998032,998170
"598",998033,998170
"599",999031,999170
"600",999032,999170
"601",999033,999004
"602",999034,999004
"603",1000031,1000003
"604",1000032,1000171
"605",1000033,1000003
"606",1000034,1000004
"607",1000035,1000004
"608",1013031,1013170
"609",1013032,1013007
"610",1013033,1013007
"611",1014032,1014030
"612",1028039,1028006
"613",1028040,1028006
"614",1033031,1033171
"615",1036031,1036002
"616",1037036,1037005
"617",1037037,1037005
"618",1038032,1038003
"619",1038033,1038173
"620",1043033,1043003
"621",1043034,1043003
"622",1043035,1043004
"623",1043036,1043004
"624",1043037,1043008
"625",1043038,1043008
"626",1043181,1043177
"627",1045031,1045030
"628",1047032,1047004
"629",1048034,1048006
"630",1048037,1048006
"631",1048038,1048031
"632",1048039,1048031
"633",1048184,1048004
"634",1048185,1048004
"635",1048194,1048191
"636",1048195,1048191
"637",1051042,1051038
"638",1051044,1051036
"639",1051045,1051038
"640",1055030,1055172
"641",1055032,1055172
"642",1060032,1060031
"643",1061030,1061004
"644",1061032,1061004
"645",1062031,1062004
"646",1066032,1066003
"647",1066033,1066030
"648",1066034,1066003
"649",1066035,1066030
"650",1068032,1068030
"651",1072031,1072170
"652",1072032,1072170
"653",1077031,1077003
"654",1077032,1077003
"655",1084032,1084004
"656",1084033,1084005
"657",1084035,1084175
"658",1088037,1088178
"659",1088038,1088178
"660",1090032,1090004
"661",1090173,1090171
"662",1092032,1092003
"663",1092033,1092004
"664",1092034,1092003
"665",1092035,1092004
"666",1093031,1093003
"667",1093032,1093030
"668",1093033,1093030
"669",1093034,1093003
"670",1096033,1096174
"671",1098032,1098030
"672",1098033,1098030
"673",1100031,1100004
"674",1100032,1100004
"675",1100034,1100003
"676",1107034,1107175
"677",1107035,1107175
"678",1109030,1109176
"679",1121031,1121174
"680",1121033,1121175
"681",1121034,1121174
"682",1125031,1125172
"683",1125032,1125172
"684",1126035,1126030
"685",1126036,1126030
"686",1127030,1127172
"687",1129039,1129005
"688",1129187,1129032
"689",1129197,1129184
"690",1131032,1131173
"691",1131034,1131173
"692",1141034,1141003
