"","year","intnum","educ1","educ2","educ"
"721",1999,84,0,0,0
"722",1999,1092,0,0,0
"725",1999,4002,0,0,0
"726",1999,4359,0,0,0
"727",1999,3008,0,0,0
"729",1999,3089,2200,0,2200
"730",1999,639,0,0,0
"731",1999,3949,0,0,0
"732",1999,6624,250,0,250
"733",1999,4014,0,0,0
"734",1999,502,0,0,0
"738",1999,4228,0,0,0
"740",1999,3861,0,0,0
"741",1999,5994,0,0,0
"745",1999,1758,7884,0,7884
"748",1999,2965,0,0,0
"749",1999,216,4000,0,4000
"751",1999,368,0,0,0
"753",1999,459,0,0,0
"755",1999,431,0,0,0
"756",1999,6336,0,0,0
"757",1999,4994,0,0,0
"758",1999,621,0,0,0
"759",1999,858,7000,0,7000
"760",1999,5263,600,0,600
"761",1999,55,0,0,0
"762",1999,3364,0,0,0
"763",1999,3365,0,0,0
"765",1999,418,0,0,0
"767",1999,1916,0,0,0
"772",1999,1744,13000,0,13000
"774",1999,4309,0,0,0
"775",1999,5506,2500,0,2500
"776",1999,974,10000,1000,11000
"777",1999,1374,11000,0,11000
"778",1999,2972,3800,0,3800
"779",1999,2899,0,0,0
"780",1999,6570,0,0,0
"781",1999,5725,0,0,0
"782",1999,1022,0,0,0
"786",1999,4354,0,0,0
"787",1999,4407,0,0,0
"788",1999,2924,12000,0,12000
"789",1999,5461,1000,0,1000
"792",1999,531,0,0,0
"795",1999,1829,3300,0,3300
"797",1999,1024,0,0,0
"798",1999,3017,0,0,0
"799",1999,4723,0,0,0
"800",1999,3778,0,0,0
"803",1999,2966,0,0,0
"804",1999,3717,NA,0,NA
"805",1999,2998,26100,0,26100
"806",1999,2868,1700,300,2000
"811",1999,2148,0,0,0
"813",1999,4611,0,0,0
"816",1999,4217,0,0,0
"817",1999,3087,0,0,0
"819",1999,3334,0,0,0
"820",1999,4377,0,0,0
"823",1999,5193,2500,400,2900
"824",1999,907,0,0,0
"825",1999,462,0,0,0
"828",1999,644,0,0,0
"829",1999,437,0,0,0
"831",1999,5146,600,0,600
"832",1999,811,0,0,0
"834",1999,395,10000,0,10000
"836",1999,945,0,0,0
"837",1999,3174,0,0,0
"838",1999,6510,0,0,0
"839",1999,6711,0,0,0
"840",1999,5446,0,0,0
"842",1999,6902,0,0,0
"843",1999,1909,9000,0,9000
"845",1999,736,0,0,0
"846",1999,6264,1800,0,1800
"847",1999,407,0,0,0
"848",1999,4106,0,0,0
"852",1999,6817,8000,0,8000
"855",1999,1474,0,0,0
"856",1999,1103,0,0,0
"857",1999,986,840,0,840
"860",1999,3437,0,0,0
"861",1999,6608,0,0,0
"862",1999,3849,1014,200,1214
"865",1999,6384,0,0,0
"869",1999,6152,0,0,0
"870",1999,3088,2500,0,2500
"871",1999,3438,0,0,0
"877",1999,3692,0,0,0
"878",1999,508,0,0,0
"881",1999,2811,0,0,0
"888",1999,2893,0,0,0
"889",1999,2495,0,0,0
"891",1999,2377,400,0,400
"892",1999,2812,0,0,0
"893",1999,2494,12000,0,12000
"894",1999,509,0,0,0
"895",1999,2691,0,0,0
"898",1999,4523,0,0,0
"899",1999,4673,0,0,0
"906",1999,2393,0,0,0
"907",1999,2903,200,0,200
"908",1999,5429,0,0,0
"910",1999,2394,0,0,0
"912",1999,6306,0,0,0
"913",1999,6731,0,0,0
"916",1999,4068,0,0,0
"917",1999,5291,0,0,0
"923",1999,664,0,0,0
"925",1999,881,8500,3000,11500
"926",1999,666,0,0,0
"927",1999,665,0,0,0
"928",1999,1387,60,0,60
"929",1999,1233,320,0,320
"934",1999,6958,0,0,0
"935",1999,1476,0,0,0
"939",1999,259,0,0,0
"940",1999,4714,5000,0,5000
"941",1999,6722,NA,0,NA
"942",1999,1000,0,0,0
"943",1999,1669,0,0,0
"944",1999,792,0,0,0
"945",1999,840,0,0,0
"947",1999,2802,11000,0,11000
"948",1999,3352,300,0,300
"957",1999,410,400,0,400
"967",1999,1977,1250,1250,2500
"971",1999,5135,0,0,0
"972",1999,5137,0,0,0
"975",1999,450,0,0,0
"976",1999,1235,24,416,440
"977",1999,1809,0,0,0
"978",1999,5551,0,0,0
"982",1999,846,0,0,0
"983",1999,845,0,0,0
"985",1999,4212,1300,0,1300
"987",1999,3839,5100,0,5100
"989",1999,269,0,0,0
"990",1999,59,0,0,0
"991",1999,3018,1200,60,1260
"995",1999,434,20000,0,20000
"996",1999,1653,12800,0,12800
"1001",1999,20,0,0,0
"1003",1999,1173,0,0,0
"1005",1999,3019,0,0,0
"1007",1999,6248,0,0,0
"1011",1999,1564,100,0,100
"1012",1999,969,0,0,0
"1013",1999,5359,2000,150,2150
"1017",1999,5405,5000,0,5000
"1021",1999,757,0,0,0
"1022",1999,5288,400,0,400
"1029",1999,1984,0,0,0
"1030",1999,6975,0,0,0
"1031",1999,6733,0,0,0
"1032",1999,805,0,0,0
"1033",1999,2037,7000,0,7000
"1034",1999,901,0,0,0
"1038",1999,1289,500,0,500
"1040",1999,3323,0,0,0
"1041",1999,793,7000,0,7000
"1042",1999,1116,0,0,0
"1043",1999,892,0,0,0
"1045",1999,4330,8000,0,8000
"1048",1999,1227,0,0,0
"1049",1999,1379,0,0,0
"1050",1999,1225,5000,0,5000
"1054",1999,1226,0,0,0
"1057",1999,875,0,0,0
"1058",1999,6881,0,0,0
"1062",1999,6810,6500,0,6500
"1066",1999,2278,0,0,0
"1068",1999,6430,20000,0,20000
"1071",1999,4693,0,0,0
"1073",1999,1746,1200,0,1200
"1074",1999,4521,100,300,400
"1076",1999,3362,100,0,100
"1077",1999,2244,NA,0,NA
"1081",1999,623,0,0,0
"1082",1999,5007,1000,0,1000
"1083",1999,4223,0,0,0
"1084",1999,6084,0,0,0
"1085",1999,6638,0,0,0
"1086",1999,5624,1600,0,1600
"1089",1999,769,0,0,0
"1090",1999,6096,0,0,0
"1091",1999,1216,0,0,0
"1092",1999,2081,0,0,0
"1099",1999,871,0,0,0
"1100",1999,2080,0,0,0
"1101",1999,4464,0,0,0
"1105",1999,6737,0,0,0
"1106",1999,2681,0,0,0
"1107",1999,4448,0,0,0
"1108",1999,1509,0,0,0
"1113",1999,3698,0,0,0
"1115",1999,1164,0,0,0
"1117",1999,733,0,0,0
"1123",1999,578,0,0,0
"1125",1999,3723,0,0,0
"1127",1999,2270,0,0,0
"1128",1999,2016,0,0,0
"1130",1999,6503,0,0,0
"1131",1999,931,0,0,0
"1132",1999,1238,0,0,0
"1133",1999,6373,3000,0,3000
"1134",1999,6121,100,0,100
"1136",1999,234,0,0,0
"1137",1999,9,0,0,0
"1138",1999,1082,7000,0,7000
"1139",1999,971,100,50,150
"1140",1999,3305,8000,0,8000
"1141",1999,770,0,0,0
"1142",1999,2313,0,0,0
"1143",1999,5794,0,0,0
"1144",1999,1072,0,0,0
"1146",1999,3299,0,0,0
"1147",1999,1073,0,0,0
"1149",1999,5929,0,0,0
"1150",1999,1759,300,1900,2200
"1151",1999,4973,0,0,0
"1153",1999,5355,300,0,300
"1154",1999,5515,60000,0,60000
"1155",1999,5356,0,0,0
"1158",1999,93,0,0,0
"1160",1999,3123,0,0,0
"1162",1999,3033,3500,0,3500
"1163",1999,1475,0,0,0
"1165",1999,4662,0,0,0
"1167",1999,6387,0,0,0
"1170",1999,4492,17000,0,17000
"1171",1999,6645,0,0,0
"1172",1999,5470,0,0,0
"1173",1999,3405,0,0,0
"1174",1999,1434,0,0,0
"1175",1999,3327,0,0,0
"1177",1999,2927,0,0,0
"1178",1999,3742,46,0,46
"1179",1999,2849,0,0,0
"1180",1999,667,0,0,0
"1181",1999,3007,300,0,300
"1182",1999,6472,10600,0,10600
"1184",1999,5838,2900,0,2900
"1187",1999,6691,0,0,0
"1190",1999,2338,36000,10000,46000
"1195",1999,58,0,0,0
"1196",1999,2703,0,0,0
"1197",1999,4968,1500,800,2300
"1203",1999,2598,600,0,600
"1204",1999,1651,4500,0,4500
"1208",1999,2977,0,0,0
"1209",1999,765,0,0,0
"1210",1999,1104,0,0,0
"1211",1999,169,0,0,0
"1212",1999,581,0,0,0
"1213",1999,2575,800,0,800
"1214",1999,13,0,0,0
"1215",1999,1049,0,0,0
"1221",1999,1631,0,0,0
"1222",1999,4941,0,0,0
"1224",1999,6055,0,0,0
"1225",1999,6447,0,0,0
"1229",1999,1937,0,0,0
"1230",1999,4166,0,0,0
"1231",1999,1457,0,0,0
"1232",1999,5093,38,300,338
"1234",1999,5667,0,0,0
"1235",1999,2851,0,0,0
"1236",1999,2537,250,0,250
"1240",1999,6432,0,0,0
"1242",1999,4060,0,0,0
"1244",1999,6081,0,0,0
"1245",1999,5173,0,0,0
"1246",1999,728,0,0,0
"1247",1999,825,0,0,0
"1250",1999,4206,0,0,0
"1251",1999,6072,2325,1300,3625
"1254",1999,5815,2140,0,2140
"1257",1999,1716,0,0,0
"1258",1999,3071,4700,0,4700
"1261",1999,3408,0,0,0
"1262",1999,4388,0,0,0
"1263",1999,3819,200,1100,1300
"1264",1999,5788,0,0,0
"1265",1999,4661,0,0,0
"1268",1999,5318,20000,0,20000
"1271",1999,2881,100,0,100
"1273",1999,3672,300,0,300
"1274",1999,3724,0,0,0
"1276",1999,46,0,0,0
"1278",1999,760,10000,0,10000
"1279",1999,2180,0,0,0
"1280",1999,4689,0,0,0
"1281",1999,4282,0,0,0
"1284",1999,337,320,0,320
"1285",1999,694,0,0,0
"1287",1999,5386,0,0,0
"1288",1999,100,0,0,0
"1290",1999,3026,0,0,0
"1292",1999,1084,0,0,0
"1293",1999,6420,370,0,370
"1300",1999,1618,0,0,0
"1301",1999,5954,0,0,0
"1302",1999,924,0,0,0
"1303",1999,3740,0,0,0
"1306",1999,6742,0,0,0
"1307",1999,963,0,0,0
"1309",1999,2379,0,0,0
"1310",1999,856,3900,0,3900
"1311",1999,42,50,0,50
"1316",1999,325,0,0,0
"1317",1999,2694,0,0,0
"1321",1999,37,0,0,0
"1322",1999,2152,0,0,0
"1323",1999,1188,0,0,0
"1324",1999,2497,80,0,80
"1325",1999,2813,1500,0,1500
"1326",1999,2815,30,0,30
"1327",1999,4548,0,0,0
"1328",1999,6477,0,0,0
"1330",1999,2814,0,0,0
"1334",1999,227,0,0,0
"1338",1999,5938,0,0,0
"1339",1999,2113,0,0,0
"1340",1999,302,0,0,0
"1343",1999,377,0,0,0
"1344",1999,1021,300,165,465
"1345",1999,484,0,0,0
"1346",1999,4963,0,0,0
"1348",1999,860,0,0,0
"1349",1999,759,0,0,0
"1350",1999,1852,0,0,0
"1352",1999,3538,3500,0,3500
"1356",1999,6059,200,0,200
"1358",1999,1851,0,0,0
"1360",1999,966,0,0,0
"1362",1999,1939,0,0,0
"1363",1999,137,0,0,0
"1365",1999,5521,0,0,0
"1367",1999,5736,2500,0,2500
"1368",1999,5626,0,0,0
"1372",1999,5798,10000,0,10000
"1373",1999,6544,0,0,0
"1374",1999,5628,12,0,12
"1383",1999,747,NA,0,NA
"1384",1999,826,0,0,0
"1385",1999,3346,0,0,0
"1387",1999,3229,0,0,0
"1388",1999,4658,0,0,0
"1390",1999,5444,2500,9000,11500
"1395",1999,3345,1200,575,1775
"1396",1999,5414,400,0,400
"1397",1999,4657,3300,0,3300
"1399",1999,2165,0,0,0
"1400",1999,6310,0,0,0
"1401",1999,491,0,0,0
"1402",1999,3661,300,0,300
"1407",1999,721,80,0,80
"1408",1999,1320,40,0,40
"1416",1999,3821,0,0,0
"1419",1999,6344,0,0,0
"1420",1999,6785,0,0,0
"1422",1999,4716,0,0,0
"1423",1999,77,0,0,0
"1425",1999,79,30,0,30
"1426",1999,1463,6000,1500,7500
"1427",1999,442,0,0,0
"1429",1999,441,0,0,0
"1430",1999,444,0,0,0
"1431",1999,443,0,0,0
"1437",1999,5213,0,0,0
"1438",1999,4831,300,0,300
"1442",1999,5095,0,0,0
"1444",1999,6350,30,0,30
"1453",1999,4761,0,0,0
"1454",1999,5813,22200,300,22500
"1455",1999,5406,0,0,0
"1456",1999,1163,0,0,0
"1457",1999,1386,0,0,0
"1458",1999,2986,0,0,0
"1459",1999,802,0,0,0
"1461",1999,106,0,0,0
"1462",1999,589,0,0,0
"1463",1999,591,0,0,0
"1464",1999,1056,100,0,100
"1466",1999,590,200,80,280
"1471",1999,1008,0,0,0
"1475",1999,5127,0,0,0
"1476",1999,6164,350,0,350
"1477",1999,4859,0,0,0
"1478",1999,6985,1200,0,1200
"1481",1999,3782,0,0,0
"1482",1999,4898,3150,1200,4350
"1483",1999,836,0,0,0
"1485",1999,4104,4000,0,4000
"1486",1999,6148,0,0,0
"1487",1999,3463,0,0,0
"1488",1999,2267,4000,2000,6000
"1490",1999,838,0,0,0
"1492",1999,3230,0,0,0
"1494",1999,2654,0,0,0
"1498",1999,2655,400,0,400
"1499",1999,5785,2200,0,2200
"1500",1999,3829,0,0,0
"1501",1999,5853,300,0,300
"1502",1999,6326,0,0,0
"1504",1999,944,1250,0,1250
"1505",1999,771,0,0,0
"1506",1999,16,0,0,0
