ER25001,ER25002,ER27711D3,ER27711E8,ER27711F1,ER27711F2,ER27711J6,ER27711L2,ER27711L4,ER27711L5,ER36001,ER36002,ER40686D3,ER40686E8,ER40686F1,ER40686F2,ER40686J6,ER40686L2,ER40686L4,ER40686L5,ER42001,ER42002,ER46670,ER46671,ER46673,ER46674,ER46681,ER46682,ER46684,ER46685
,,,,,,,,,,7,2208,52,40,34000,6,0,0,0,0,5,4986,52,48,32000,6,0,0,0,0
6,1056,52,40,99999999,9,0,0,0,0,7,170,99,998,9999999,9,0,0,0,0,5,589,52,40,9999999,9,0,0,0,0
6,1394,22,15,15000,6,0,0,0,0,7,800,49,45,22000,6,49,35,5000,6,5,1005,52,45,26000,6,52,35,8000,6
6,104,0,0,0,0,52,55,99999999,9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,3836,45,40,6400,6,9,25,700,6
6,181,0,0,0,0,0,0,0,0,7,5963,52,1,3900,6,0,0,0,0,5,2007,0,0,0,0,0,0,0,0
6,523,48,40,99999999,9,0,0,0,0,7,6742,52,40,5400,6,0,0,0,0,5,3276,52,40,28000,6,0,0,0,0
6,4930,52,40,23000,6,0,0,0,0,7,6917,52,40,23000,6,0,0,0,0,5,2239,52,40,19000,6,0,0,0,0
6,618,49,40,18000,6,0,0,0,0,7,7291,24,40,15000,6,0,0,0,0,5,2250,52,50,24000,6,0,0,0,0
6,563,0,0,0,0,0,0,0,0,7,8022,45,35,6700,6,0,0,0,0,5,3006,1,35,500,6,30,35,1800,6
6,6528,52,50,99999999,9,0,0,0,0,7,6733,52,46,9999999,9,0,0,0,0,5,6827,52,40,26000,6,0,0,0,0
6,819,52,45,45000,6,52,40,95000,6,7,6905,52,45,36000,6,52,36,95000,6,5,4256,52,45,39000,6,52,36,110000,6
6,644,0,0,0,0,0,0,0,0,7,1005,0,0,0,0,0,0,0,0,5,258,0,0,0,0,0,0,0,0
6,1072,52,45,99999999,9,0,0,0,0,7,667,52,45,9999999,9,0,0,0,0,5,371,52,48,9999999,9,0,0,0,0
6,29,0,0,0,0,0,0,0,0,7,436,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
6,234,16,12,12000,6,0,0,0,0,7,2121,39,80,11000,6,0,0,0,0,5,1062,18,40,14000,6,0,0,0,0
6,1858,52,84,130000,6,0,0,0,0,7,792,52,84,135000,6,0,0,0,0,5,121,1,36,4047,6,0,0,0,0
6,1019,52,98,67890,6,0,0,0,0,7,1020,52,13,87000,6,0,0,0,0,5,2794,52,12,100000,6,0,0,0,0
6,735,52,40,87000,6,13,35,10000,6,7,2233,52,42,102000,6,39,7,900,6,5,1613,52,43,105770,6,52,11,8800,6
6,6674,17,32,3500,6,0,0,0,0,7,7369,0,0,0,0,0,0,0,0,5,3808,0,0,0,0,0,0,0,0
6,736,52,48,57250,6,52,40,24373,6,7,3621,25,36,30000,6,52,40,30000,6,5,5994,0,0,0,0,52,40,35000,6
,,,,,,,,,,,,,,,,,,,,5,713,37,40,9000,6,0,0,0,0
6,677,52,50,50000,6,35,20,20000,6,7,2668,52,50,58000,6,36,30,19000,6,5,126,52,50,61000,6,52,30,21000,6
,,,,,,,,,,7,4149,21,50,9000,6,23,998,15000,6,,,,,,,,,,
6,517,0,0,0,0,0,0,0,0,7,1389,0,0,0,0,0,0,0,0,5,614,0,0,0,0,0,0,0,0
,,,,,,,,,,7,7254,0,0,0,0,0,0,0,0,5,6161,0,0,0,0,0,0,0,0
6,1063,52,40,34000,6,52,40,34000,6,7,3618,52,41,40000,6,52,40,40000,6,5,8053,52,40,40000,6,52,40,48000,6
6,418,52,30,7000,6,0,0,0,0,7,390,52,50,27000,5,0,0,0,0,5,7380,52,70,31000,6,0,0,0,0
6,3563,52,998,13000,6,52,40,5000,6,7,1156,52,60,35000,6,0,0,0,0,5,5975,52,60,60000,6,52,37,35000,6
6,1850,0,0,0,0,52,40,9000,6,7,1894,52,48,22000,6,52,32,14000,6,5,6533,52,60,35000,6,52,25,20000,6
6,2514,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,2,0,0,0,0,0,0,0,0,7,4828,0,0,0,0,0,0,0,0,5,5943,0,0,0,0,0,0,0,0
6,2265,52,70,45000,6,0,0,0,0,7,535,52,60,48000,6,52,48,44500,6,5,616,52,52,38000,6,52,40,39000,6
6,1457,52,50,65000,6,52,40,45000,6,7,375,52,40,52000,6,52,40,54000,6,5,445,52,40,48000,6,52,40,56000,6
6,394,28,40,14000,6,0,0,0,0,7,1479,34,40,12000,6,0,0,0,0,5,661,52,40,16500,6,0,0,0,0
6,1057,52,60,41000,6,0,0,0,0,7,293,52,40,60000,6,31,40,10000,6,5,3155,52,60,58000,6,52,40,10000,6
6,4535,52,60,80000,6,52,25,7000,6,7,911,52,50,9999999,9,52,4,9999999,9,5,6942,52,70,250000,6,52,999,9000,6
