"","KID","LW_std","LW_raw","PC_std","PC_raw","AP_std","AP_raw","DigSpan","BPE","BPN","year"
"68",61034,90,4,NA,NA,65,1,6,6,0,1997
"69",61035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"70",68030,106,8,NA,NA,106,10,6,5,1,1997
"71",79032,135,52,115,29,123,40,24,3,1,1997
"72",84033,93,30,109,20,101,27,9,5,1,1997
"73",84034,134,37,124,18,109,23,7,12,7,1997
"74",84035,112,11,NA,NA,117,15,5,9,2,1997
"75",88035,116,46,115,28,118,37,17,4,0,1997
"76",88036,122,44,125,27,134,37,15,1,0,1997
"77",89034,109,43,110,26,117,36,20,9,5,1997
"78",89035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"79",90030,110,17,NA,NA,95,15,8,2,0,1997
"80",90031,83,4,NA,NA,91,9,5,5,1,1997
"81",90032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"82",91031,94,4,NA,NA,101,8,4,5,0,1997
"83",91032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"84",96031,100,46,97,26,95,35,11,4,3,1997
"85",96032,89,12,77,0,101,18,3,3,0,1997
"86",96033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"87",99032,93,3,NA,NA,63,0,3,14,7,1997
"88",99033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"89",105035,90,25,87,10,104,26,14,9,5,1997
"90",106031,102,20,103,9,91,18,11,9,2,1997
"91",106032,97,12,NA,NA,115,19,9,10,2,1997
"92",114033,118,49,101,27,97,34,15,14,6,1997
"93",114034,127,51,124,32,100,35,24,3,0,1997
"94",117031,NA,NA,NA,NA,NA,NA,NA,0,2,1997
"95",117032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"96",121030,141,54,125,33,127,44,21,3,6,1997
"97",121032,114,47,121,31,120,40,26,13,10,1997
"98",121033,125,45,142,32,142,39,16,8,2,1997
"99",121036,123,34,129,22,137,31,11,8,9,1997
"100",121037,117,11,NA,NA,108,11,6,10,4,1997
"101",122034,NA,NA,NA,NA,NA,NA,NA,9,4,1997
"102",122036,79,4,NA,NA,86,9,11,1,0,1997
"103",122037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"104",122174,96,34,106,21,97,27,8,0,1,1997
"105",126030,NA,NA,NA,NA,NA,NA,NA,2,2,1997
"106",128030,109,23,108,10,104,21,9,NA,1,1997
"107",128031,114,12,NA,NA,125,18,8,NA,2,1997
"108",129040,NA,NA,NA,NA,NA,NA,NA,2,0,1997
"109",129041,97,4,NA,NA,75,1,3,5,0,1997
"110",129197,108,34,120,22,120,30,10,1,0,1997
"111",134030,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"112",134031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"113",138032,89,7,NA,NA,103,14,0,13,7,1997
"114",138033,89,2,NA,NA,76,1,3,7,1,1997
"115",145030,130,41,118,21,122,30,13,6,2,1997
"116",145031,91,7,NA,NA,97,12,4,3,1,1997
"117",151037,NA,NA,NA,NA,NA,NA,NA,7,3,1997
"118",151038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"119",165032,129,50,106,26,111,36,19,0,0,1997
"120",166033,97,41,93,22,108,36,11,9,9,1997
"121",172036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"122",172179,113,40,106,20,123,33,12,1,0,1997
"123",172180,125,28,134,19,116,22,10,4,0,1997
"124",173035,107,43,114,28,124,39,12,5,3,1997
"125",173036,115,45,106,25,127,39,24,4,6,1997
"126",173037,79,18,80,6,84,20,6,2,1,1997
"127",173038,90,20,80,3,136,31,8,1,1,1997
"128",173039,104,16,NA,NA,123,23,8,9,0,1997
"129",173040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"130",174033,103,46,96,25,102,37,12,5,5,1997
"131",174034,NA,NA,NA,NA,NA,NA,NA,7,2,1997
"132",174036,98,32,103,18,113,29,12,NA,0,1997
"133",174037,93,24,91,10,106,25,7,0,0,1997
"134",174040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"135",178033,135,51,120,29,127,39,13,3,5,1997
"136",178034,141,41,121,18,103,23,14,4,1,1997
"137",180030,NA,NA,NA,NA,NA,NA,NA,6,1,1997
"138",180032,NA,NA,NA,NA,NA,NA,NA,0,3,1997
"139",181031,99,41,113,28,98,32,11,4,3,1997
"140",181032,112,36,113,20,110,28,9,2,2,1997
"141",189031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"142",190033,NA,NA,NA,NA,NA,NA,NA,1,0,1997
"143",195030,99,15,NA,NA,101,18,8,0,3,1997
"144",195031,80,4,NA,NA,106,14,4,6,1,1997
"145",200034,99,45,103,28,117,42,13,1,1,1997
"146",200035,95,27,112,19,127,31,22,2,1,1997
"147",203031,145,47,125,24,127,32,11,1,0,1997
"148",203033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"149",209030,NA,NA,NA,NA,NA,NA,NA,NA,11,1997
"150",217032,109,48,107,29,118,43,13,1,0,1997
"151",220030,106,21,101,7,122,25,12,4,0,1997
"152",221032,99,5,NA,NA,99,7,5,8,4,1997
"153",228031,NA,NA,NA,NA,NA,NA,NA,2,0,1997
"154",228032,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"155",236032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"156",245034,114,46,104,26,105,35,14,4,1,1997
"157",246031,117,50,97,26,118,43,19,6,4,1997
"158",250031,80,32,84,18,81,26,16,3,3,1997
"159",250032,90,4,NA,NA,82,3,3,6,1,1997
"160",257037,110,38,121,24,120,32,12,9,7,1997
"161",257039,96,4,NA,NA,137,17,5,14,1,1997
"162",257040,NA,NA,NA,NA,NA,NA,NA,5,0,1997
"163",263038,104,8,NA,NA,117,14,4,8,2,1997
"164",266031,NA,NA,NA,NA,NA,NA,NA,8,3,1997
"165",266033,NA,NA,NA,NA,NA,NA,NA,6,5,1997
"166",266035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"167",277033,98,45,92,24,107,40,10,6,3,1997
"168",280032,121,49,121,31,118,39,10,10,10,1997
"169",280033,98,13,NA,NA,104,17,6,14,10,1997
"170",284030,112,12,NA,NA,121,17,7,10,2,1997
"171",284031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"172",297048,109,44,94,21,101,33,15,10,7,1997
"173",302036,108,44,129,33,132,42,16,4,2,1997
"174",302037,130,41,118,21,129,32,12,0,0,1997
"175",308037,100,45,104,28,122,43,18,4,2,1997
"176",311032,102,16,NA,NA,109,20,6,1,0,1997
"177",311033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"178",315030,79,29,114,27,110,34,15,3,3,1997
"179",319031,131,52,112,29,122,41,16,12,8,1997
"180",319032,123,12,NA,NA,110,11,4,8,3,1997
"181",321032,102,46,115,31,125,45,10,11,2,1997
"182",321176,NA,NA,NA,NA,NA,NA,NA,5,2,1997
"183",321177,NA,NA,NA,NA,NA,NA,NA,10,9,1997
"184",323032,112,22,112,9,94,17,13,4,3,1997
"185",323033,115,10,NA,NA,109,10,6,2,2,1997
"186",323034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"187",327033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"188",340031,NA,NA,NA,NA,NA,NA,NA,1,0,1997
"189",340034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"190",343032,110,10,NA,NA,127,17,6,0,0,1997
"191",343033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"192",344031,NA,NA,NA,NA,NA,NA,NA,7,1,1997
"193",344032,NA,NA,NA,NA,NA,NA,NA,10,0,1997
"194",344033,94,36,100,22,117,35,11,8,0,1997
"195",344034,99,30,101,16,113,28,9,NA,5,1997
"196",344186,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"197",350030,93,9,NA,NA,110,16,8,4,3,1997
"198",350031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"199",351037,99,44,99,26,100,36,12,14,12,1997
"200",351038,62,9,77,2,81,17,3,8,4,1997
"201",351039,91,3,NA,NA,106,9,6,11,4,1997
"202",354031,104,5,NA,NA,78,1,10,6,2,1997
"203",355031,102,46,97,26,116,42,18,8,3,1997
"204",355032,119,39,122,23,137,35,13,8,4,1997
"205",355033,98,15,101,4,124,24,11,7,7,1997
"206",356031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"207",356032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"208",361176,114,47,113,29,124,41,19,14,7,1997
"209",368032,111,12,NA,NA,115,16,7,2,1,1997
"210",374030,141,12,NA,NA,148,16,7,NA,NA,1997
"211",375030,127,22,NA,NA,120,19,9,NA,6,1997
"212",375031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"213",377030,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"214",377031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"215",391031,127,52,104,28,97,35,23,7,1,1997
"216",391032,NA,NA,NA,NA,NA,NA,NA,5,2,1997
"217",404033,75,6,NA,NA,73,9,4,13,7,1997
"218",404035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"219",409033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"220",409177,NA,NA,NA,NA,NA,NA,NA,1,0,1997
"221",414038,149,55,135,35,113,40,24,1,5,1997
"222",414039,NA,NA,NA,NA,NA,NA,NA,5,2,1997
"223",419033,81,35,82,19,82,28,14,3,3,1997
"224",419034,67,8,83,1,83,15,6,8,11,1997
"225",419035,80,4,NA,NA,88,9,6,6,2,1997
"226",419036,91,9,NA,NA,83,10,7,NA,3,1997
"227",419037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"228",428030,163,56,136,36,142,52,27,5,2,1997
"229",428032,102,21,110,12,156,36,15,NA,1,1997
"230",432032,109,10,NA,NA,93,8,0,10,1,1997
"231",433031,96,44,101,28,99,37,20,0,3,1997
"232",433034,111,27,105,12,130,29,16,5,1,1997
"233",433037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"234",433038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"235",433040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"236",452037,89,8,NA,NA,110,16,10,4,0,1997
"237",452038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"238",452178,113,35,115,20,118,29,12,2,0,1997
"239",452187,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"240",455032,NA,NA,NA,NA,NA,NA,NA,4,5,1997
"241",455033,NA,NA,NA,NA,NA,NA,NA,0,1,1997
"242",455034,NA,NA,NA,NA,NA,NA,NA,9,5,1997
"243",459031,134,20,NA,NA,121,17,10,7,1,1997
"244",465033,NA,NA,NA,NA,NA,NA,NA,8,2,1997
"245",465034,NA,NA,NA,NA,NA,NA,NA,1,1,1997
"246",473035,103,41,121,29,105,33,17,6,4,1997
"247",473036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"248",478038,109,42,110,25,140,41,15,2,2,1997
"249",478039,90,20,125,20,93,21,6,7,4,1997
"250",478040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"251",479030,118,12,NA,NA,106,11,5,3,1,1997
"252",479031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"253",486030,88,6,NA,NA,106,14,6,11,3,1997
"254",486031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"255",487035,96,38,103,24,101,32,9,3,2,1997
"256",487036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"257",487176,88,6,NA,NA,106,14,8,7,2,1997
"258",490032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"259",495034,70,1,NA,NA,70,3,4,6,1,1997
"260",495035,NA,NA,NA,NA,NA,NA,NA,13,3,1997
"261",495036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"262",495174,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"263",496031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"264",496032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"265",496183,92,40,91,22,93,32,15,13,3,1997
"266",496184,125,49,121,30,111,36,19,3,0,1997
"267",503173,NA,NA,NA,NA,NA,NA,NA,6,2,1997
"268",508031,101,41,118,29,99,32,16,1,5,1997
"269",508032,81,11,74,0,77,13,11,13,3,1997
"270",508033,NA,NA,NA,NA,NA,NA,NA,2,0,1997
"271",510031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"272",512031,100,45,91,23,101,37,15,9,9,1997
"273",517030,NA,NA,NA,NA,NA,NA,NA,10,NA,1997
"274",517031,NA,NA,NA,NA,NA,NA,NA,0,3,1997
"275",517032,109,12,NA,NA,117,17,9,7,1,1997
"276",517033,109,13,NA,NA,93,11,8,4,2,1997
"277",517034,NA,NA,NA,NA,NA,NA,NA,2,0,1997
"278",534032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"279",544032,98,12,NA,NA,87,12,12,10,1,1997
"280",548035,NA,NA,NA,NA,NA,NA,NA,15,13,1997
"281",548036,137,52,142,36,158,49,18,7,4,1997
"282",548037,101,4,NA,NA,138,15,NA,10,5,1997
"283",548038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"284",548039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"285",548040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"286",548189,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"287",556036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"288",556037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"289",557176,NA,NA,NA,NA,NA,NA,NA,4,1,1997
"290",557177,NA,NA,NA,NA,NA,NA,NA,3,2,1997
"291",563043,82,13,68,0,104,21,8,1,3,1997
"292",563044,73,7,NA,NA,91,15,13,3,2,1997
"293",563045,98,7,NA,NA,128,18,7,4,3,1997
"294",563046,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"295",563047,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"296",564034,NA,NA,NA,NA,NA,NA,NA,10,1,1997
"297",565031,143,49,111,21,129,34,11,7,7,1997
"298",565032,NA,NA,NA,NA,NA,NA,NA,10,8,1997
"299",565033,96,14,NA,NA,114,21,9,4,0,1997
"300",565034,NA,NA,NA,NA,NA,NA,NA,9,4,1997
"301",567177,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"302",569031,94,41,91,22,88,30,12,10,1,1997
"303",569032,76,24,73,9,80,22,7,0,0,1997
"304",570035,91,42,88,23,94,35,16,5,5,1997
"305",570036,112,11,NA,NA,96,9,6,8,3,1997
"306",573033,142,52,114,26,101,31,16,3,8,1997
"307",573035,111,28,125,19,103,23,8,10,4,1997
"308",577032,94,13,80,0,102,18,7,4,3,1997
"309",581172,82,28,85,14,93,27,8,3,2,1997
"310",581173,88,23,85,8,103,25,9,2,0,1997
"311",582032,111,45,120,30,138,44,18,5,3,1997
"312",582033,94,33,115,24,124,34,18,2,0,1997
"313",582034,106,12,NA,NA,112,16,8,4,5,1997
"314",593030,108,12,NA,NA,97,12,7,4,3,1997
"315",593031,102,4,NA,NA,131,12,3,2,2,1997
"316",593033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"317",597035,106,37,100,18,81,21,8,4,0,1997
"318",597036,88,4,NA,NA,107,12,6,1,0,1997
"319",597037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"320",602034,105,32,112,19,119,29,15,2,1,1997
"321",602035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"322",605031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"323",607040,94,43,95,25,106,39,11,8,6,1997
"324",607042,95,15,90,2,93,17,7,11,8,1997
"325",608186,119,26,124,15,114,22,8,10,3,1997
"326",610033,NA,NA,NA,NA,NA,NA,NA,11,3,1997
"327",613031,108,7,NA,NA,113,10,4,4,0,1997
"328",620033,104,44,136,35,128,42,11,5,3,1997
"329",620035,117,34,119,20,110,26,6,0,0,1997
"330",620037,99,16,115,10,115,22,9,10,4,1997
"331",620039,99,4,NA,NA,101,6,2,NA,NA,1997
"332",624172,NA,NA,NA,NA,NA,NA,NA,9,8,1997
"333",624173,NA,NA,NA,NA,NA,NA,NA,5,3,1997
"334",625030,NA,NA,NA,NA,NA,NA,NA,6,3,1997
"335",625031,115,43,129,29,110,32,12,9,3,1997
"336",625032,106,18,106,6,116,22,8,3,0,1997
"337",626044,NA,NA,NA,NA,NA,NA,NA,9,1,1997
"338",626045,126,12,NA,NA,125,14,4,10,3,1997
"339",626047,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"340",626048,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"341",626189,78,6,NA,NA,90,12,7,5,1,1997
"342",628034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"343",630033,128,50,116,29,118,38,16,0,0,1997
"344",631035,NA,NA,NA,NA,NA,NA,NA,11,7,1997
"345",632176,52,12,47,1,49,10,0,9,6,1997
"346",632177,109,11,NA,NA,95,10,7,5,0,1997
"347",633041,96,4,NA,NA,111,9,NA,1,0,1997
"348",633042,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"349",634031,109,44,94,21,96,31,11,11,2,1997
"350",634032,96,15,74,0,94,17,8,1,0,1997
"351",634034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"352",636031,95,41,107,28,110,38,10,13,10,1997
"353",636033,86,4,NA,NA,101,11,3,3,1,1997
"354",639032,83,32,90,19,88,28,14,8,6,1997
"355",644031,112,47,119,31,100,35,15,7,7,1997
"356",647033,NA,NA,NA,NA,NA,NA,NA,5,1,1997
"357",647034,124,49,109,27,132,42,14,7,3,1997
"358",649032,109,44,107,26,117,37,12,8,5,1997
"359",649033,84,24,86,11,109,28,11,12,6,1997
"360",649034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"361",650178,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"362",652033,112,40,118,24,136,37,13,4,3,1997
"363",652034,116,21,NA,NA,121,22,12,7,2,1997
"364",652035,101,8,NA,NA,101,11,6,5,0,1997
"365",652037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"366",654032,110,18,NA,NA,103,18,5,12,7,1997
"367",654033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"368",655030,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"369",655031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"370",656031,125,52,107,29,108,39,17,4,1,1997
"371",656033,118,44,113,24,108,31,16,6,7,1997
"372",656034,125,35,125,20,132,30,16,5,3,1997
"373",656035,NA,NA,NA,NA,NA,NA,NA,9,2,1997
"374",664030,121,51,107,29,112,41,10,0,0,1997
"375",664032,109,43,120,29,119,37,14,9,3,1997
"376",664034,114,38,126,25,103,27,12,3,3,1997
"377",664035,121,42,117,23,134,36,12,0,1,1997
"378",672172,NA,NA,NA,NA,NA,NA,NA,3,1,1997
"379",672174,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"380",673032,NA,NA,NA,NA,NA,NA,NA,NA,0,1997
"381",673033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"382",673174,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"383",674030,NA,NA,NA,NA,NA,NA,NA,1,0,1997
"384",674031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"385",677034,124,49,94,22,105,35,21,1,0,1997
"386",677037,86,4,NA,NA,101,11,5,10,5,1997
"387",686036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"388",687171,NA,NA,NA,NA,NA,NA,NA,4,3,1997
"389",691030,123,50,100,26,100,35,16,8,5,1997
"390",691031,106,42,97,22,111,35,12,1,NA,1997
"391",691032,93,31,108,20,87,23,15,1,3,1997
"392",691033,97,27,108,17,123,29,10,0,0,1997
"393",691034,100,12,NA,NA,117,19,6,2,2,1997
"394",691035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"395",691036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"396",692033,103,46,100,27,112,40,12,2,0,1997
"397",692038,115,12,NA,NA,124,17,8,8,1,1997
"398",692039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"399",694033,118,36,128,24,151,37,17,0,0,1997
"400",694034,87,12,76,0,107,20,11,6,0,1997
"401",698034,118,46,102,24,111,35,16,7,1,1997
"402",698035,120,43,117,24,136,37,15,7,2,1997
"403",699033,75,30,81,17,94,32,13,10,6,1997
"404",699034,80,30,81,15,95,30,14,12,8,1997
"405",699035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"406",699036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"407",700032,105,13,NA,NA,99,14,4,9,2,1997
"408",700034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"409",702032,104,6,NA,NA,105,8,4,3,2,1997
"410",704030,111,45,108,27,117,38,14,8,6,1997
"411",704031,107,40,107,22,113,32,10,6,2,1997
"412",706030,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"413",706171,86,4,NA,NA,114,14,8,8,3,1997
"414",706177,85,6,NA,NA,103,14,8,8,1,1997
"415",707030,105,15,NA,NA,112,19,9,4,1,1997
"416",707032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"417",709038,114,12,NA,NA,107,13,11,NA,6,1997
"418",709039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"419",709040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"420",711030,99,41,106,26,111,36,11,1,0,1997
"421",711031,98,27,102,15,106,25,7,0,1,1997
"422",712034,94,37,106,25,93,29,11,0,2,1997
"423",713037,66,10,NA,NA,39,7,3,8,3,1997
"424",713039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"425",713184,NA,NA,NA,NA,NA,NA,NA,3,0,1997
"426",717033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"427",719173,93,5,NA,NA,117,14,8,8,2,1997
"428",722034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"429",722035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"430",725031,63,1,NA,NA,85,9,5,3,1,1997
"431",727030,100,41,94,21,106,34,10,6,4,1997
"432",728032,104,48,93,25,98,37,12,5,NA,1997
"433",728033,127,12,NA,NA,88,3,3,5,0,1997
"434",729031,127,47,109,23,115,33,11,5,12,1997
"435",729032,85,12,74,0,85,15,5,12,3,1997
"436",729040,91,5,NA,NA,99,10,4,9,3,1997
"437",729041,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"438",729042,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"439",729043,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"440",749033,121,51,103,28,92,33,23,7,1,1997
"441",749034,142,49,126,26,103,28,17,3,2,1997
"442",749035,115,13,NA,NA,101,12,8,10,3,1997
"443",750031,123,50,111,29,117,40,16,14,10,1997
"444",750032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"445",750033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"446",750034,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"447",751035,127,51,124,32,120,41,19,4,NA,1997
"448",751037,85,2,NA,NA,82,2,NA,5,1,1997
"449",751038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"450",751039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
