"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2"
"5036",6485036,1997,33.4333333333333,2.08333333333333,33.4333333333333,32.6,2.08333333333333
"5037",6485036,2002,16.9833333333333,8,16.9833333333333,8.31666666666667,0
"5038",6485039,1997,20.25,0,20.25,15.25,0
"5039",6485039,2002,16.75,0,16.75,16.75,0
"5040",6485041,1997,28.6666666666667,0,28.6666666666667,27.3333333333333,0
"5041",6485042,1997,40.5,0,40.5,37,0
"5042",6485042,2002,5,0,5,5,0
"5043",6485178,1997,21.75,0,21.75,21.75,0
"5044",6485181,1997,24.6666666666667,18.75,43.4166666666667,15.8333333333333,15.4166666666667
"5045",6485181,2002,25.9833333333333,0,25.9833333333333,24.4833333333333,0
"5046",6485183,1997,16.5,0,16.5,6,0
"5047",6485184,1997,46.5,0,46.5,31,0
"5048",6494035,2002,23.1666666666667,0,23.1666666666667,13.1666666666667,0
"5049",6494036,2002,23.1666666666667,0,23.1666666666667,13.1666666666667,0
"5050",6498033,2002,9,9,9,1.66666666666667,1.66666666666667
"5051",6498192,1997,21.3333333333333,0,21.3333333333333,21.3333333333333,0
"5052",6498193,1997,2.5,0,2.5,2.5,0
"5053",6499034,1997,0,3.75,3.75,0,3.75
"5054",6499034,2002,0,1.5,1.5,0,1.5
"5055",6499039,1997,21,6.41666666666667,21,21,6.41666666666667
"5056",6516033,1997,24.05,16.95,24.05,14.2833333333333,7.18333333333333
"5057",6519040,1997,7.66666666666667,0,7.66666666666667,7.66666666666667,0
"5058",6522030,1997,6.5,0,6.5,2.5,0
"5059",6522032,1997,54,0,54,28.25,0
"5060",6522032,2002,0,0,0,0,0
"5061",6539174,1997,49.1666666666667,2.5,49.1666666666667,46.6666666666667,2.5
"5062",6539174,2002,21,26.4166666666667,26.4166666666667,15.8333333333333,21.25
"5063",6541031,1997,34.5,33.5833333333333,49.1666666666667,32.3333333333333,31.4166666666667
"5064",6545037,1997,16.25,0,16.25,16.25,0
"5065",6545037,2002,0.833333333333333,0,0.833333333333333,0.833333333333333,0
"5066",6545039,2002,5.25,3.91666666666667,5.25,3.91666666666667,3.91666666666667
"5067",6545040,1997,28.25,14.5,42.75,24.5,14.5
"5068",6545040,2002,5,14,18,5,13
"5069",6545041,2002,9.16666666666667,31.25,32.9166666666667,7.16666666666667,19.25
"5070",6545178,1997,7.5,0,7.5,7.5,0
"5071",6545178,2002,0,0,0,0,0
"5072",6545180,2002,28.0833333333333,0,28.0833333333333,19.75,0
"5073",6546034,2002,8.41666666666667,0,8.41666666666667,0.416666666666667,0
"5074",6546036,1997,21.3,22.4,43.7,18.8,20.4
"5075",6546036,2002,13.75,11.6666666666667,16.4166666666667,9.75,7.66666666666667
"5076",6546037,2002,26,0,26,15,0
"5077",6547032,2002,6.25,13.5,19.75,2.91666666666667,3.83333333333333
"5078",6547172,2002,0,0,0,0,0
"5079",6549030,2002,3.75,0,3.75,3.75,0
"5080",6549031,2002,5.5,0,5.5,0,0
"5081",6553030,1997,42.5833333333333,9.03333333333333,51.6166666666667,29.6666666666667,0.366666666666667
"5082",6553030,2002,0,0,0,0,0
"5083",6553031,1997,35.4166666666667,0,35.4166666666667,35.4166666666667,0
