"","KID","m_pc_st","m_pc_raw"
"477",783032,NA,NA
"478",794030,99,35
"479",794031,99,35
"480",796032,91,30
"481",796033,96,33
"482",796034,96,33
"483",814032,118,38
"484",817032,90,31
"485",818030,114,37
"486",818032,114,37
"487",819032,100,34
"488",819033,NA,NA
"489",819034,NA,NA
"490",821031,96,32
"491",823033,NA,NA
"492",826032,NA,NA
"493",833035,100,35
"494",833036,93,30
"495",833180,107,36
"496",833181,107,36
"497",834034,136,41
"498",834035,136,41
"499",835030,107,36
"500",835031,107,36
"501",838030,109,37
"502",838031,109,37
"503",840041,64,20
"504",840042,75,22
"505",840043,64,20
"506",840044,NA,NA
"507",840191,NA,NA
"508",844032,100,35
"509",844033,100,35
"510",844034,93,33
"511",846030,61,17
"512",846040,131,40
"513",846043,131,40
"514",846044,90,29
"515",846045,61,17
"516",853030,114,38
"517",856033,NA,NA
"518",856034,97,33
"519",856035,113,37
"520",856036,97,33
"521",856038,113,37
"522",857030,84,27
"523",857031,84,27
"524",863032,99,35
"525",863033,99,35
"526",863034,137,41
"527",863035,137,41
"528",866032,NA,NA
"529",866033,NA,NA
"530",868031,99,34
"531",868034,98,34
"532",868036,98,34
"533",868037,97,34
"534",875035,94,33
"535",875036,94,33
"536",880030,104,35
"537",880031,104,35
"538",880033,91,30
"539",891031,128,40
"540",891032,128,40
"541",893031,92,32
"542",893032,92,32
"543",897034,NA,NA
"544",897035,NA,NA
"545",898033,89,30
"546",898034,89,30
"547",898035,93,31
"548",899032,NA,NA
"549",899033,116,38
"550",908036,94,32
"551",908037,94,32
"552",909032,124,39
"553",910036,128,40
"554",913031,118,38
"555",915030,118,38
"556",915031,111,37
"557",915032,111,37
"558",915033,107,36
"559",915034,118,38
"560",915035,107,36
"561",916036,NA,NA
"562",916184,NA,NA
"563",916190,NA,NA
"564",916191,NA,NA
"565",920030,89,31
"566",920031,89,31
"567",922031,93,33
"568",922032,103,36
"569",922033,103,36
"570",922034,93,33
"571",922035,82,28
"572",922036,93,33
"573",931032,94,33
"574",931033,94,33
"575",935030,111,37
"576",935031,100,35
"577",935032,100,35
"578",935034,111,37
"579",939033,122,39
"580",941034,106,35
"581",941037,100,34
"582",941038,103,35
"583",941039,100,34
"584",941184,103,34
"585",941187,103,35
"586",946030,120,38
"587",952032,97,33
"588",961034,NA,NA
"589",961035,NA,NA
"590",961036,95,33
"591",961037,101,35
"592",961038,101,35
"593",964032,NA,NA
"594",964035,NA,NA
"595",970032,113,37
"596",970033,120,39
"597",971030,NA,NA
"598",976033,124,39
"599",980030,109,37
"600",980031,111,37
"601",982032,98,34
"602",998032,90,31
"603",998033,90,31
"604",999031,94,32
"605",999032,94,32
"606",999033,107,36
"607",999034,107,36
"608",1000031,118,38
"609",1000032,91,30
"610",1000033,118,38
"611",1000034,125,39
"612",1000035,125,39
"613",1013031,125,39
"614",1013032,NA,NA
"615",1013033,NA,NA
"616",1014032,NA,NA
"617",1028039,NA,NA
"618",1028040,NA,NA
"619",1033031,138,41
"620",1036031,NA,NA
"621",1037036,89,31
"622",1037037,89,31
"623",1038032,104,34
"624",1038033,106,36
"625",1043033,108,36
"626",1043034,108,36
"627",1043035,89,30
"628",1043036,89,30
"629",1043037,100,35
"630",1043038,100,35
"631",1043181,92,31
"632",1045031,67,22
"633",1047032,99,34
"634",1048034,97,34
"635",1048037,97,34
