"","KID","m_pc_st","m_pc_raw"
"1249",2006177,NA,NA
"1250",2006178,NA,NA
"1251",2011033,112,37
"1252",2011034,128,40
"1253",2011035,128,40
"1254",2012032,126,40
"1255",2012033,126,40
"1256",2012034,101,35
"1257",2013174,NA,NA
"1258",2016031,120,38
"1259",2016032,115,38
"1260",2016033,115,38
"1261",2017032,93,32
"1262",2019031,72,23
"1263",2019032,91,31
"1264",2022030,NA,NA
"1265",2022031,NA,NA
"1266",2028032,93,33
"1267",2030037,NA,NA
"1268",2030038,108,36
"1269",2030039,NA,NA
"1270",2030040,NA,NA
"1271",2030041,93,31
"1272",2032035,NA,NA
"1273",2032037,107,36
"1274",2032040,NA,NA
"1275",2032041,NA,NA
"1276",2033030,NA,NA
"1277",2034031,NA,NA
"1278",2034033,NA,NA
"1279",2034034,NA,NA
"1280",2047030,NA,NA
"1281",2047031,NA,NA
"1282",2050031,96,32
"1283",2050032,96,32
"1284",2051034,113,37
"1285",2051035,113,37
"1286",2053031,108,36
"1287",2053032,87,29
"1288",2053033,87,29
"1289",2054030,109,36
"1290",2054031,109,36
"1291",2055030,90,31
"1292",2055031,114,38
"1293",2055032,90,31
"1294",2055033,114,38
"1295",2055034,97,34
"1296",2056034,NA,NA
"1297",2059033,90,30
"1298",2060030,116,38
"1299",2061031,92,32
"1300",2061032,86,30
"1301",2061183,86,30
"1302",2067036,118,38
"1303",2067037,118,38
"1304",2067038,72,23
"1305",2073033,80,25
"1306",2073034,103,31
"1307",2075177,91,21
"1308",2080031,84,29
"1309",2080032,84,29
"1310",2083030,84,28
"1311",2083031,77,26
"1312",2083172,84,28
"1313",2083173,77,26
"1314",2086031,111,37
"1315",2086033,111,37
"1316",2088031,94,33
"1317",2095032,NA,NA
"1318",2095033,NA,NA
"1319",2106031,105,36
"1320",2106032,105,36
"1321",2106033,86,29
"1322",2108031,91,30
"1323",2108032,91,30
"1324",2108033,97,34
"1325",2108034,97,34
"1326",2108178,NA,NA
"1327",2108179,NA,NA
"1328",2109030,162,43
"1329",2109031,162,43
"1330",2117030,113,37
"1331",2117031,113,37
"1332",2117032,NA,NA
"1333",2117033,NA,NA
"1334",2125030,104,35
"1335",2125031,103,35
"1336",2125032,104,35
"1337",2125034,103,35
"1338",2126032,120,38
"1339",2127030,NA,NA
"1340",2127031,NA,NA
"1341",2128032,NA,NA
"1342",2128033,NA,NA
"1343",2129032,NA,NA
"1344",2129033,86,29
"1345",2129035,NA,NA
"1346",2129036,86,29
"1347",2129190,91,32
"1348",2137034,92,31
"1349",2138033,98,34
"1350",2138176,103,35
"1351",2143031,NA,NA
"1352",2143032,NA,NA
"1353",2150031,92,31
"1354",2151038,97,33
"1355",2151039,NA,NA
"1356",2151040,NA,NA
"1357",2151041,NA,NA
"1358",2164039,97,32
"1359",2164041,84,28
"1360",2164042,84,28
"1361",2175030,93,31
"1362",2175031,93,31
"1363",2175032,NA,NA
"1364",2175033,NA,NA
"1365",2176031,124,39
"1366",2176032,124,39
"1367",2177031,100,34
"1368",2177032,149,42
"1369",2177033,100,34
"1370",2177034,107,36
"1371",2177035,94,32
"1372",2177036,94,32
"1373",2181036,79,27
"1374",2181038,NA,NA
"1375",2188030,NA,NA
"1376",2188032,NA,NA
"1377",2191038,84,26
"1378",2191182,34,8
"1379",2194185,94,32
"1380",2195178,97,33
"1381",2195181,104,35
"1382",2196034,90,31
"1383",2196035,90,31
"1384",2197031,97,34
"1385",2197032,97,34
"1386",2198031,NA,NA
"1387",2198032,92,30
"1388",2198033,NA,NA
"1389",2198034,92,30
"1390",2198035,149,42
"1391",2198036,149,42
"1392",2199035,94,33
"1393",2199036,94,33
"1394",2201030,105,36
"1395",2201173,105,36
"1396",2205032,95,31
"1397",2207030,NA,NA
"1398",2207031,NA,NA
"1399",2210033,82,28
"1400",2210035,82,28
"1401",2210180,97,34
"1402",2210181,97,34
"1403",2219033,106,35
"1404",2219034,106,35
"1405",2224030,NA,NA
"1406",2224039,NA,NA
"1407",2224040,101,34
"1408",2224042,116,38
"1409",2224044,116,38
"1410",2224045,122,39
"1411",2225033,119,38
"1412",2225034,100,34
"1413",2228030,NA,NA
"1414",2228031,NA,NA
"1415",2228033,NA,NA
"1416",2228035,NA,NA
"1417",2228036,84,28
"1418",2237031,89,31
"1419",2237032,111,37
"1420",2238031,NA,NA
"1421",2238033,NA,NA
"1422",2238035,NA,NA
"1423",2238036,NA,NA
"1424",2238037,115,38
"1425",2240031,84,29
"1426",2240032,84,29
"1427",2240033,84,29
"1428",2240034,84,29
"1429",2240175,NA,NA
"1430",2244031,116,37
"1431",2246030,NA,NA
"1432",2248033,107,36
"1433",2248034,107,36
"1434",2250041,114,37
"1435",2250042,NA,NA
"1436",2250043,NA,NA
"1437",2250044,94,31
"1438",2250045,100,33
"1439",2251035,94,31
"1440",2251037,94,31
"1441",2251040,97,34
"1442",2256175,111,37
"1443",2260031,89,30
"1444",2260033,84,29
"1445",2260035,89,30
"1446",2260036,84,29
"1447",2261033,NA,NA
"1448",2261034,NA,NA
"1449",2271032,100,35
"1450",2271034,136,41
"1451",2271035,100,35
"1452",2272033,78,27
"1453",2276171,97,32
"1454",2277034,NA,NA
"1455",2277035,NA,NA
"1456",2277183,84,29
"1457",2277184,84,29
"1458",2278039,NA,NA
"1459",2278040,112,37
"1460",2278041,83,28
"1461",2278042,112,37
"1462",2278043,83,28
"1463",2280038,93,31
"1464",2280039,100,34
"1465",2280041,93,31
"1466",2280042,113,37
"1467",2280043,113,37
"1468",2282178,111,37
"1469",2285036,124,39
"1470",2285037,124,39
"1471",2288033,104,35
"1472",2288034,104,35
"1473",2292036,NA,NA
"1474",2297034,115,38
"1475",2299033,97,33
"1476",2299034,124,39
"1477",2299035,124,39
"1478",2299036,97,33
"1479",2302043,NA,NA
"1480",2302047,84,29
"1481",2302048,94,32
"1482",2302049,97,33
"1483",2302050,97,32
"1484",2302051,84,29
"1485",2302052,97,33
"1486",2302053,90,31
"1487",2302194,89,30
"1488",2302198,NA,NA
"1489",2302199,NA,NA
"1490",2304032,128,40
"1491",2304033,128,40
"1492",2311031,NA,NA
"1493",2311032,129,40
"1494",2311033,89,31
"1495",2311034,129,40
"1496",2311035,89,31
"1497",2323032,89,31
"1498",2323033,95,33
"1499",2323034,95,33
"1500",2326036,80,26
"1501",2326037,80,26
"1502",2330031,105,36
"1503",2330032,105,36
"1504",2335032,97,34
"1505",2341031,105,36
"1506",2341032,105,36
"1507",2341033,NA,NA
"1508",2341034,NA,NA
"1509",2352031,111,37
"1510",2352032,111,37
"1511",2353030,101,35
"1512",2353035,101,35
"1513",2354034,94,33
"1514",2354035,95,32
"1515",2354036,94,33
"1516",2355033,97,34
"1517",2355176,97,34
"1518",2379031,NA,NA
"1519",2379032,NA,NA
"1520",2379033,82,27
"1521",2383173,84,28
"1522",2383174,84,28
"1523",2392032,NA,NA
"1524",2392033,NA,NA
"1525",2392034,NA,NA
"1526",2392035,NA,NA
"1527",2392036,91,31
"1528",2392037,91,31
"1529",2393030,NA,NA
"1530",2393031,NA,NA
"1531",2397037,87,30
"1532",2397038,87,30
"1533",2409031,106,35
"1534",2409032,106,35
"1535",2409033,96,33
"1536",2409175,96,33
"1537",2410031,84,29
"1538",2410032,84,29
"1539",2410033,81,28
"1540",2411171,NA,NA
"1541",2411172,NA,NA
"1542",2411173,NA,NA
"1543",2411174,NA,NA
"1544",2412033,92,32
"1545",2416034,97,33
"1546",2416035,97,34
"1547",2416036,97,34
"1548",2417175,NA,NA
"1549",2417176,NA,NA
"1550",2418034,94,32
"1551",2422035,NA,NA
"1552",2422036,NA,NA
"1553",2427034,97,33
"1554",2427035,97,33
"1555",2432038,NA,NA
"1556",2432041,NA,NA
"1557",2432042,NA,NA
"1558",2432044,NA,NA
"1559",2432046,NA,NA
"1560",2432047,NA,NA
"1561",2432048,NA,NA
"1562",2432052,71,22
"1563",2432053,NA,NA
"1564",2432054,NA,NA
"1565",2432055,71,22
"1566",2432187,NA,NA
"1567",2434031,114,38
"1568",2434032,114,38
"1569",2435031,92,32
"1570",2435032,92,31
"1571",2435034,92,31
"1572",2435035,109,37
"1573",2435036,92,32
"1574",2436036,124,39
"1575",2436037,89,31
"1576",2441031,98,34
"1577",2441032,98,34
"1578",2441034,78,27
"1579",2441035,78,27
"1580",2441037,93,32
"1581",2443030,NA,NA
"1582",2443031,NA,NA
"1583",2443033,103,35
"1584",2443179,103,35
"1585",2461031,86,30
"1586",2461032,NA,NA
"1587",2461033,NA,NA
"1588",2461173,76,26
"1589",2464032,98,32
"1590",2468030,115,38
"1591",2468031,115,38
"1592",2469032,87,28
"1593",2473030,107,36
"1594",2473032,107,36
"1595",2474034,87,29
"1596",2478031,118,38
"1597",2478032,91,31
"1598",2485032,89,30
"1599",2485034,100,35
"1600",2485035,NA,NA
"1601",2485036,100,35
"1602",2486034,87,29
"1603",2490034,87,30
"1604",2492030,89,31
"1605",2501031,NA,NA
"1606",2501032,NA,NA
"1607",2501033,NA,NA
"1608",2501034,NA,NA
"1609",2502033,93,32
"1610",2502035,93,32
"1611",2502036,109,37
"1612",2502037,109,37
"1613",2506178,87,28
"1614",2509035,NA,NA
"1615",2509036,93,30
"1616",2509037,96,33
"1617",2509038,108,36
"1618",2509039,118,38
"1619",2509040,108,36
"1620",2509041,118,38
"1621",2509042,96,33
"1622",2509043,81,28
"1623",2510033,NA,NA
"1624",2510034,87,30
"1625",2510035,NA,NA
"1626",2510036,87,30
"1627",2515038,85,29
"1628",2515040,97,33
"1629",2515041,85,29
"1630",2516031,NA,NA
"1631",2516032,NA,NA
"1632",2516033,NA,NA
"1633",2518033,74,25
"1634",2518176,74,25
"1635",2524030,107,36
"1636",2524031,106,36
"1637",2525030,137,41
"1638",2525177,87,30
"1639",2526033,97,33
"1640",2526034,91,31
"1641",2526035,86,28
"1642",2529031,78,26
"1643",2530037,87,30
"1644",2530038,87,30
"1645",2530186,NA,NA
"1646",2532031,115,37
"1647",2532032,115,37
"1648",2538031,NA,NA
"1649",2539034,104,35
"1650",2540032,82,28
"1651",2540171,82,28
"1652",2545033,160,43
"1653",2545034,160,43
"1654",2557032,103,35
"1655",2557033,103,35
"1656",2558031,87,30
"1657",2558171,87,30
"1658",2566038,NA,NA
"1659",2566039,NA,NA
"1660",2569037,105,36
"1661",2569038,105,36
"1662",2576033,97,33
"1663",2576034,97,33
"1664",2577030,92,32
"1665",2577031,92,32
"1666",2578180,NA,NA
"1667",2586032,118,38
"1668",2586034,118,38
"1669",2586035,104,35
"1670",2590040,107,35
"1671",2590041,100,34
"1672",2590042,100,34
"1673",2590043,107,35
"1674",2591035,162,43
"1675",2593033,90,30
"1676",2594030,115,37
"1677",2599174,124,39
"1678",2599175,124,39
"1679",2601033,97,33
"1680",2601034,118,38
"1681",2601036,118,38
"1682",2601038,97,33
"1683",2603032,100,34
"1684",2603033,91,31
"1685",2603179,91,31
"1686",2607030,115,37
"1687",2610032,100,35
"1688",2611037,69,22
"1689",2611038,69,22
"1690",2613030,NA,NA
"1691",2613031,NA,NA
"1692",2615046,115,37
"1693",2615047,114,37
"1694",2615048,124,39
"1695",2615049,114,37
"1696",2618032,NA,NA
"1697",2618033,NA,NA
"1698",2618034,120,39
"1699",2618035,106,36
"1700",2618037,120,39
"1701",2621034,106,34
"1702",2628032,115,37
"1703",2628034,82,28
"1704",2628035,82,28
"1705",2628037,115,37
"1706",2629030,89,31
"1707",2629031,89,31
"1708",2639030,105,36
"1709",2640030,97,34
"1710",2642032,NA,NA
"1711",2642034,NA,NA
"1712",2642035,NA,NA
"1713",2643032,NA,NA
"1714",2645030,92,31
"1715",2646032,NA,NA
"1716",2646033,NA,NA
"1717",2647030,99,34
"1718",2653030,103,35
"1719",2655031,97,34
"1720",2655032,97,34
"1721",2655033,89,30
"1722",2656033,95,31
"1723",2656034,99,34
"1724",2656035,95,31
"1725",2656036,99,34
"1726",2656037,NA,NA
"1727",2657036,NA,NA
"1728",2657037,118,38
"1729",2657038,NA,NA
"1730",2660031,NA,NA
"1731",2660032,NA,NA
"1732",2661040,100,35
"1733",2661041,66,22
"1734",2661042,66,22
"1735",2661043,98,33
"1736",2661044,101,35
"1737",2662032,NA,NA
"1738",2672030,92,32
"1739",2672031,99,34
"1740",2672032,99,34
"1741",2673174,110,36
"1742",2678037,NA,NA
"1743",2678038,95,33
"1744",2678040,95,33
"1745",2680032,149,42
"1746",2680033,92,32
"1747",2680034,92,32
"1748",2682032,NA,NA
"1749",2682033,NA,NA
"1750",2688036,92,31
"1751",2701038,67,21
"1752",2701043,NA,NA
"1753",2701047,NA,NA
"1754",2701048,NA,NA
"1755",2701049,86,27
"1756",2701050,91,31
"1757",2701051,86,27
"1758",2701052,NA,NA
"1759",2701208,91,31
"1760",2704185,91,30
"1761",2704186,91,30
"1762",2707034,87,22
"1763",2707035,91,30
"1764",2707037,NA,NA
"1765",2707038,NA,NA
"1766",2707042,NA,NA
"1767",2707043,86,30
"1768",2707044,86,30
"1769",2707182,91,30
"1770",2712032,NA,NA
"1771",2714036,84,29
"1772",2714183,89,29
"1773",2715030,91,30
"1774",2716032,106,36
"1775",2716033,106,36
"1776",2717033,89,29
"1777",2717034,81,27
"1778",2717036,81,27
"1779",2717038,99,35
"1780",2722031,114,37
"1781",2726030,87,28
"1782",2726031,87,28
"1783",2727035,107,36
"1784",2727036,107,36
"1785",2727178,100,35
"1786",2727179,100,35
"1787",2731034,NA,NA
"1788",2731035,74,25
"1789",2731036,74,25
"1790",2731037,74,25
"1791",2731175,NA,NA
"1792",2744034,NA,NA
"1793",2750031,100,35
"1794",2750032,100,35
"1795",2752032,80,25
"1796",2752033,115,38
"1797",2753034,NA,NA
"1798",2753035,NA,NA
"1799",2753174,NA,NA
"1800",2756034,99,34
"1801",2756173,99,34
"1802",2771033,125,39
"1803",2771034,125,39
"1804",2774172,NA,NA
"1805",2776031,NA,NA
"1806",2776032,NA,NA
"1807",2779031,97,34
"1808",2782177,91,30
"1809",2783031,120,38
"1810",2786032,51,15
"1811",2786033,88,30
"1812",2786034,51,15
"1813",2799031,NA,NA
"1814",2799032,NA,NA
"1815",2800035,95,32
"1816",2801035,NA,NA
"1817",2801179,95,33
"1818",2801180,95,33
"1819",2806033,93,32
"1820",2807030,92,32
"1821",2807031,92,32
"1822",2816033,92,32
"1823",2822032,NA,NA
"1824",2831032,NA,NA
"1825",2831033,NA,NA
"1826",2835030,111,37
"1827",2835031,111,37
"1828",2836033,NA,NA
"1829",2836035,NA,NA
"1830",2846176,NA,NA
"1831",2846177,NA,NA
"1832",2847040,90,31
"1833",2848036,81,27
"1834",2848037,77,25
"1835",2848038,88,29
"1836",2848039,59,19
"1837",2848040,59,19
"1838",2848041,46,14
"1839",2848042,46,14
"1840",2848043,95,29
"1841",2848175,81,27
"1842",2848179,77,25
"1843",2849031,NA,NA
"1844",2849032,NA,NA
"1845",2851031,96,33
"1846",2851032,97,33
"1847",2851033,97,33
"1848",2851034,91,31
"1849",2851035,91,31
"1850",2852041,98,34
"1851",2852046,94,33
"1852",2852048,103,35
"1853",2852049,98,34
"1854",2852050,97,32
"1855",2852051,103,35
"1856",2852052,70,22
"1857",2852053,94,33
"1858",2852054,70,22
"1859",2860031,87,30
"1860",2860032,87,30
"1861",2867032,NA,NA
"1862",2869031,97,34
"1863",2874032,NA,NA
"1864",2874033,NA,NA
"1865",2875034,72,23
"1866",2875035,72,23
"1867",2876032,84,28
"1868",2880030,96,33
"1869",2880031,96,33
"1870",2881033,NA,NA
"1871",2881036,NA,NA
"1872",2881037,71,24
"1873",2882032,100,34
"1874",2882033,103,35
"1875",2882034,103,35
"1876",2887036,96,33
"1877",2888030,95,31
"1878",2890031,94,31
"1879",2893031,104,35
"1880",2893177,104,35
"1881",2895032,120,38
"1882",2895033,97,34
"1883",2895034,97,34
"1884",2897031,NA,NA
"1885",2897032,89,30
"1886",2897033,NA,NA
"1887",2897034,89,30
"1888",2897036,96,33
"1889",2897180,92,32
"1890",2897182,92,32
"1891",2898031,NA,NA
"1892",2898032,118,38
"1893",2902030,107,36
"1894",2902032,NA,NA
"1895",2902033,107,36
"1896",2907035,77,25
"1897",2907036,77,25
"1898",2907037,NA,NA
"1899",2907038,NA,NA
"1900",2907041,100,35
"1901",2907043,100,35
"1902",2910032,87,30
"1903",2910033,87,30
"1904",2916031,89,29
"1905",2916032,89,29
"1906",2920034,NA,NA
"1907",2920035,NA,NA
"1908",2921031,NA,NA
"1909",2921033,NA,NA
"1910",3002002,126,40
"1911",3005002,49,18
"1912",3006004,66,19
"1913",3010003,NA,NA
"1914",3010004,NA,NA
"1915",3012002,NA,NA
"1916",3018002,NA,NA
"1917",3018003,NA,NA
"1918",3019003,97,33
"1919",3021003,14,4
"1920",3021004,14,4
"1921",3023003,149,42
"1922",3023004,149,42
"1923",3024003,NA,NA
"1924",3025003,NA,NA
"1925",3025004,NA,NA
"1926",3027002,NA,NA
"1927",3030003,NA,NA
"1928",3032003,NA,NA
"1929",3033002,72,22
"1930",3034004,NA,NA
"1931",3036004,NA,NA
"1932",3036005,NA,NA
"1933",3037002,65,25
"1934",3037004,65,25
"1935",3041003,149,42
"1936",3041004,149,42
"1937",3043003,65,20
"1938",3045003,98,34
"1939",3045004,98,34
"1940",3046005,NA,NA
"1941",3046007,NA,NA
"1942",3047005,NA,NA
"1943",3047006,NA,NA
"1944",3049004,NA,NA
"1945",3049005,NA,NA
"1946",3050003,51,17
"1947",3050004,51,17
"1948",3055003,95,32
"1949",3055004,95,32
"1950",3056003,NA,NA
"1951",3057004,NA,NA
"1952",3057005,NA,NA
"1953",3059003,79,26
"1954",3059004,79,26
"1955",3061003,NA,NA
"1956",3061004,NA,NA
"1957",3063005,NA,NA
"1958",3063006,NA,NA
"1959",3064006,NA,NA
"1960",3064007,NA,NA
"1961",3066003,81,28
"1962",3070003,85,30
"1963",3073002,98,33
"1964",3075004,83,33
"1965",3078003,70,27
"1966",3079005,96,31
"1967",3080003,75,29
"1968",3082003,84,33
"1969",3082004,84,33
"1970",3085003,99,34
"1971",3085004,99,34
"1972",3088004,72,28
"1973",3088005,72,28
"1974",3089006,95,38
"1975",3089007,95,38
"1976",3090003,91,30
"1977",3090004,91,30
"1978",3091003,104,35
"1979",3091004,104,35
"1980",3092003,NA,NA
"1981",3092004,NA,NA
"1982",3093002,NA,NA
"1983",3094003,93,37
"1984",3094004,93,37
"1985",3095003,NA,NA
"1986",3095004,NA,NA
"1987",3096003,72,24
"1988",3098003,66,25
"1989",3098004,66,25
"1990",3099004,84,32
"1991",3099005,84,32
"1992",3105003,64,21
"1993",3105004,64,21
"1994",3108004,91,35
"1995",3109003,NA,NA
"1996",3110003,NA,NA
"1997",3110005,NA,NA
"1998",3111004,NA,NA
"1999",3111005,NA,NA
"2000",3113003,NA,NA
"2001",3115004,NA,NA
"2002",3116002,66,22
"2003",3117005,NA,NA
"2004",3117006,NA,NA
"2005",3121004,NA,NA
"2006",3123003,104,35
"2007",3124003,79,26
"2008",3125004,70,27
"2009",3125005,70,27
"2010",3126004,NA,NA
"2011",3127003,66,22
"2012",3127004,66,22
"2013",3128004,NA,NA
"2014",3128006,NA,NA
"2015",3129003,NA,NA
"2016",3129004,NA,NA
"2017",3130002,69,23
"2018",3131002,NA,NA
"2019",3131003,NA,NA
"2020",3133003,81,24
"2021",3135003,76,26
"2022",3135004,76,26
"2023",3136003,76,26
"2024",3140003,63,20
"2025",3140004,63,20
"2026",3141005,84,26
"2027",3143004,NA,NA
"2028",3144003,NA,NA
"2029",3147006,NA,NA
"2030",3149003,NA,NA
"2031",3151004,NA,NA
"2032",3151005,NA,NA
"2033",3154003,NA,NA
"2034",3155005,NA,NA
"2035",3155006,NA,NA
"2036",3156003,NA,NA
"2037",3156004,NA,NA
"2038",3157004,NA,NA
"2039",3157005,NA,NA
"2040",3159003,101,34
"2041",3159004,101,34
"2042",3161003,124,39
"2043",3162005,70,26
"2044",3162006,70,26
"2045",3163004,61,20
"2046",3167003,NA,NA
"2047",3168003,NA,NA
"2048",3168004,NA,NA
"2049",3171005,NA,NA
"2050",3172004,81,31
"2051",3176004,96,38
"2052",3176005,96,38
"2053",3177003,54,20
"2054",3178003,88,35
"2055",3178005,88,35
"2056",3179004,75,29
"2057",3179006,75,29
"2058",3189003,97,33
"2059",3190003,NA,NA
"2060",3191004,92,29
"2061",3194003,79,27
"2062",3194004,79,27
"2063",3196003,62,22
"2064",3196006,62,22
"2065",3197005,88,29
"2066",3198002,81,27
"2067",3200004,77,29
"2068",3200006,77,29
"2069",3202003,NA,NA
"2070",3202005,NA,NA
"2071",3204003,NA,NA
"2072",3204004,NA,NA
"2073",3205002,NA,NA
"2074",3206004,NA,NA
"2075",3207004,NA,NA
"2076",3207005,NA,NA
"2077",3211003,NA,NA
"2078",3211004,NA,NA
"2079",3212005,NA,NA
"2080",3212007,NA,NA
"2081",3217003,91,36
"2082",3221003,78,31
"2083",3221005,78,31
"2084",3223003,79,31
"2085",3223004,79,31
"2086",3224006,71,24
"2087",3224007,70,24
"2088",3225003,61,23
"2089",3225006,61,23
"2090",3227003,56,21
"2091",3227004,56,21
"2092",3228003,77,26
"2093",3228006,77,26
"2094",3229003,75,29
"2095",3229004,75,29
"2096",3231003,84,33
"2097",3232004,72,22
"2098",3232005,72,22
"2099",3233003,65,25
"2100",3233004,65,25
"2101",3237006,72,25
"2102",3237007,72,25
"2103",3238003,87,29
"2104",3238004,87,29
"2105",3239003,75,29
"2106",3239004,75,29
"2107",3240003,NA,NA
"2108",3240006,NA,NA
"2109",3242003,58,20
"2110",3242004,58,20
"2111",3243004,92,36
"2112",3248004,NA,NA
"2113",3248005,NA,NA
"2114",3249004,77,26
"2115",3249007,77,26
"2116",3250003,90,34
"2117",3250004,90,34
"2118",3257003,67,26
"2119",3257004,67,26
"2120",3258004,73,27
"2121",3258005,73,27
"2122",3265003,NA,NA
"2123",3265004,NA,NA
"2124",3270002,NA,NA
"2125",3275003,NA,NA
"2126",3275004,NA,NA
"2127",3276004,NA,NA
"2128",3277003,NA,NA
"2129",3277004,NA,NA
"2130",3279006,NA,NA
"2131",3279007,NA,NA
"2132",3282005,NA,NA
"2133",3282007,NA,NA
"2134",3289003,75,28
"2135",3291003,86,30
"2136",3294004,88,35
"2137",3302003,94,32
"2138",3302004,94,32
"2139",3303007,84,33
"2140",3308003,89,30
"2141",3309003,87,28
"2142",3309004,87,28
"2143",3310003,NA,NA
"2144",3311005,NA,NA
"2145",3311007,NA,NA
"2146",3312005,NA,NA
"2147",3317003,NA,NA
"2148",3317004,NA,NA
"2149",3318003,NA,NA
"2150",3320002,NA,NA
"2151",3323003,81,28
"2152",3323004,81,28
"2153",3326003,NA,NA
"2154",3328005,NA,NA
"2155",3328006,NA,NA
"2156",3330003,NA,NA
"2157",3331006,NA,NA
"2158",3331008,NA,NA
"2159",3332003,NA,NA
"2160",3332004,NA,NA
"2161",3333003,NA,NA
"2162",3336003,76,26
"2163",3336005,76,26
"2164",3343003,66,20
"2165",3345003,88,27
"2166",3345005,88,27
"2167",3346003,NA,NA
"2168",3347005,54,20
"2169",3348006,79,29
"2170",3349003,NA,NA
"2171",3349004,NA,NA
"2172",3350003,86,30
"2173",3352003,78,27
"2174",3353003,72,28
"2175",3353004,72,28
"2176",3355005,NA,NA
"2177",3355006,NA,NA
"2178",3356006,76,29
"2179",3360002,NA,NA
"2180",3360003,NA,NA
"2181",3365004,80,29
"2182",3365005,80,29
"2183",3367003,76,29
"2184",3367004,76,29
"2185",3368007,58,21
"2186",3368008,58,21
"2187",3369004,78,30
"2188",3369007,78,30
"2189",3371004,NA,NA
"2190",3371005,NA,NA
"2191",3372007,NA,NA
"2192",3372008,NA,NA
"2193",3373003,71,27
"2194",3373004,71,27
"2195",3374005,74,29
"2196",3375005,NA,NA
"2197",3375006,NA,NA
"2198",3376006,81,25
"2199",3376007,81,25
"2200",3378003,54,20
"2201",3378004,54,20
"2202",3380004,79,31
"2203",3380005,79,31
"2204",3382003,85,34
"2205",3382004,85,34
"2206",3386003,72,23
"2207",3386004,72,23
"2208",3387003,NA,NA
"2209",3389003,NA,NA
"2210",3390003,64,21
"2211",3396004,NA,NA
"2212",3397003,84,33
"2213",3397007,88,33
"2214",3403005,NA,NA
"2215",3403006,NA,NA
"2216",3404003,NA,NA
"2217",3404004,NA,NA
"2218",3407003,80,27
"2219",3407004,80,27
"2220",3408004,99,38
"2221",3409003,95,33
"2222",3409004,95,33
"2223",3413005,NA,NA
"2224",3416003,97,34
"2225",3417003,NA,NA
"2226",3420004,67,20
"2227",3420005,67,20
"2228",3422003,NA,NA
"2229",3422004,NA,NA
"2230",3425004,83,19
"2231",3427004,81,32
"2232",3427005,81,32
"2233",3429004,NA,NA
"2234",3429005,NA,NA
"2235",3437003,81,31
"2236",3437007,81,31
"2237",3441003,78,31
"2238",3441005,78,31
"2239",5012038,79,23
"2240",5012039,79,23
"2241",5012177,94,33
"2242",5014035,92,31
"2243",5014040,98,31
"2244",5015034,72,23
"2245",5015035,72,23
"2246",5015036,87,30
"2247",5015177,87,30
"2248",5016033,84,29
"2249",5016034,84,29
"2250",5017032,97,34
"2251",5017175,88,27
"2252",5018033,96,32
"2253",5018034,86,30
"2254",5031038,76,25
"2255",5031039,74,24
"2256",5031040,76,25
"2257",5031041,97,34
"2258",5031042,NA,NA
"2259",5031043,NA,NA
"2260",5031044,97,34
"2261",5031046,NA,NA
"2262",5031050,65,19
"2263",5031052,NA,NA
"2264",5034040,93,31
"2265",5034042,103,34
"2266",5034043,103,34
"2267",5035031,97,33
"2268",5036031,89,29
"2269",5037034,92,31
"2270",5037185,92,31
"2271",5040033,89,31
"2272",5040181,89,31
"2273",5045033,NA,NA
"2274",5046176,NA,NA
"2275",5046177,NA,NA
"2276",5047031,NA,NA
"2277",5047032,NA,NA
"2278",5048039,124,39
"2279",5048041,NA,NA
"2280",5048045,NA,NA
"2281",5048046,98,31
"2282",5052048,85,27
"2283",5052049,95,32
"2284",5052050,89,30
"2285",5052051,84,28
"2286",5052052,84,28
"2287",5052192,95,32
"2288",5055037,94,33
"2289",5055038,94,33
"2290",5055042,53,17
"2291",5055043,85,29
"2292",5055044,75,23
"2293",5055176,85,29
"2294",5057038,NA,NA
"2295",5057041,70,22
"2296",5057042,99,35
"2297",5057044,70,22
"2298",5057045,99,35
"2299",5057047,NA,NA
"2300",5057196,NA,NA
"2301",5057197,96,32
"2302",5057198,96,32
"2303",5061034,95,32
"2304",5061035,75,24
"2305",5065037,NA,NA
"2306",5065038,90,31
"2307",5065039,88,30
"2308",5065040,90,31
"2309",5065043,86,28
"2310",5065045,88,30
"2311",5065046,93,33
"2312",5066037,72,24
"2313",5066039,96,33
"2314",5066040,96,33
"2315",5066041,NA,NA
"2316",5066181,94,32
"2317",5067035,77,25
"2318",5067036,77,25
"2319",5069037,91,30
"2320",5069038,91,30
"2321",5070175,87,28
"2322",5071035,NA,NA
"2323",5071036,NA,NA
"2324",5082030,92,31
"2325",5120030,90,31
"2326",5120031,92,31
"2327",5120032,112,37
"2328",5120033,114,36
"2329",5126035,87,23
"2330",5133033,NA,NA
"2331",5133034,96,31
"2332",5133035,96,31
"2333",5136039,NA,NA
"2334",5136040,84,29
"2335",5136041,84,29
"2336",5136042,94,31
"2337",5136043,94,31
"2338",5136180,82,27
"2339",5136181,82,27
"2340",5136183,NA,NA
"2341",5142033,NA,NA
"2342",5142034,103,36
"2343",5142035,103,36
"2344",5145034,68,18
"2345",5145035,68,18
"2346",5145176,93,31
"2347",5145177,93,31
"2348",5154039,82,27
"2349",5154041,82,27
"2350",5154044,93,30
"2351",5154045,50,15
"2352",5154046,93,30
"2353",5163032,100,34
"2354",5164032,79,25
"2355",5164034,NA,NA
