"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"35",50032,2002,3.84615384615385,0.961538461538462,0.961538461538462,5.76923076923077,11.5384615384615,4.80769230769231,0,0,0,0
"36",50033,2002,3.84615384615385,0.961538461538462,0.961538461538462,3.84615384615385,9.61538461538461,1.92307692307692,0,0,0,0
"37",50034,2002,2.88461538461538,3.84615384615385,0.961538461538462,3.84615384615385,9.61538461538461,13.4615384615385,0,0.480769230769231,0,0
"38",50035,2002,2.88461538461538,3.84615384615385,0.961538461538462,4.80769230769231,9.61538461538461,0,11.5384615384615,0.384615384615385,0,0
"39",51031,2002,2.59615384615385,9.61538461538461,1.92307692307692,5.76923076923077,19.2307692307692,0,0,0,0,0
"40",51032,2002,2.59615384615385,9.61538461538461,0.961538461538462,5.76923076923077,19.2307692307692,0,0,0,0,0
"41",53035,2002,7.69230769230769,0,0.961538461538462,1.92307692307692,2.5,0,10,0,0,0
"42",53036,2002,0.961538461538462,0,2.88461538461538,3.84615384615385,23.0769230769231,0,0,0,0,0
"43",53038,2002,9.61538461538461,0,0.769230769230769,2.30769230769231,19.2307692307692,0,0,0,0,0
"44",53040,2002,3.84615384615385,0,0.769230769230769,2.30769230769231,19.2307692307692,0,0,0,0,0
"45",53041,2002,5.76923076923077,3.84615384615385,3.84615384615385,5.76923076923077,9.61538461538461,0,7.21153846153846,0,0,0
"46",53042,2002,1.44230769230769,0,0.576923076923077,1.92307692307692,5,0,0,0,0,0
"47",53205,2002,1.92307692307692,0,1.53846153846154,1.92307692307692,25,0,0,0,0,0
"48",60036,2002,11.5384615384615,13.4615384615385,1.15384615384615,3.84615384615385,28.8461538461538,0,10.3846153846154,0,0,0
"49",60037,2002,9.61538461538461,5.76923076923077,1.15384615384615,5.76923076923077,9.61538461538461,0,0,0,0,0
"50",61032,2002,19.2307692307692,5.76923076923077,1.92307692307692,13.4615384615385,19.2307692307692,2.88461538461538,0,19.2307692307692,0,0
"51",61034,2002,9.61538461538461,9.61538461538461,1.92307692307692,15.3846153846154,19.2307692307692,0.961538461538462,0,0,0,0
"52",61035,2002,1.92307692307692,25,0.480769230769231,6.73076923076923,28.8461538461538,0,19.1346153846154,0.961538461538462,0,48.4615384615385
"53",68030,2002,11.5384615384615,0,1.92307692307692,5.76923076923077,23.0769230769231,1.15384615384615,1.15384615384615,0,0,80.7692307692308
"54",79032,2002,NA,7.69230769230769,0.961538461538462,7.69230769230769,28.8461538461538,0,2.88461538461538,0,0,0
"55",84033,2002,28.8461538461538,96.1538461538462,3.84615384615385,9.61538461538461,69.2307692307692,0,0,0,11.5384615384615,32.6923076923077
"56",84034,2002,7.69230769230769,1.92307692307692,0.480769230769231,2.40384615384615,NA,0.961538461538462,0,0,0,0
"57",84035,2002,8.65384615384615,NA,0.480769230769231,NA,NA,0,0,0,0,0
"58",88035,2002,15.3846153846154,8.65384615384615,4.80769230769231,19.2307692307692,50,0,0,0,0,0
"59",88036,2002,9.61538461538461,8.65384615384615,4.80769230769231,11.5384615384615,50,0,0,0,0,0
"60",89034,2002,9.61538461538461,3.84615384615385,2.88461538461538,15.3846153846154,9.61538461538461,0,0,0,0,0
"61",89035,2002,7.69230769230769,5.76923076923077,0.384615384615385,5.76923076923077,9.61538461538461,0.961538461538462,0,0,0,9.73557692307692
"62",90030,2002,NA,NA,NA,NA,NA,0,4.88461538461539,0.961538461538462,0,0
"63",90031,2002,7.69230769230769,5.76923076923077,1.92307692307692,7.69230769230769,19.2307692307692,19.2307692307692,0,0,0,0
"64",90032,2002,7.69230769230769,2.88461538461538,1.92307692307692,1.92307692307692,9.61538461538461,1.92307692307692,6.73076923076923,0,0,0
"65",91031,2002,0.961538461538462,3.84615384615385,NA,5.76923076923077,1.44230769230769,1.53846153846154,0.576923076923077,0,0,0
"66",91032,2002,NA,0.961538461538462,0.576923076923077,NA,2.40384615384615,0.769230769230769,0,0,0,0
"67",96031,2002,19.2307692307692,38.4615384615385,5.76923076923077,3.84615384615385,NA,0,0,0,0,134.615384615385
"68",96032,2002,3.84615384615385,38.4615384615385,0.576923076923077,9.61538461538461,NA,1.92307692307692,0,0,1.44230769230769,0
"69",96033,2002,30.7692307692308,15.3846153846154,0.961538461538462,28.8461538461538,13.4615384615385,24.4230769230769,0,1.53846153846154,0,57.6923076923077
"70",99032,2002,9.61538461538461,0.769230769230769,0.576923076923077,3.84615384615385,48.0769230769231,0,0,0.673076923076923,0,0
"71",99033,2002,3.84615384615385,0.961538461538462,0.769230769230769,3.84615384615385,48.0769230769231,0,0,0,0,0
"72",105035,2002,5.76923076923077,0,0.769230769230769,7.69230769230769,23.0769230769231,0,0,0,0,0
"73",106031,2002,13.4615384615385,0,2.88461538461538,7.69230769230769,19.2307692307692,7.69230769230769,0,7.69230769230769,0,0
