"","KID","chcare","Arrange","Price","year"
"1493",2311032,0,NA,0,1997
"1494",2311033,0,"Relative",0,1997
"1495",2311034,0,"Relative",0,1997
"1496",2311035,0,"Relative",0,1997
"1497",2323032,55,NA,NA,1997
"1498",2323033,95,NA,NA,1997
"1499",2323034,95,NA,NA,1997
"1500",2326036,0,NA,NA,1997
"1501",2326037,0,NA,NA,1997
"1502",2330031,181.25,"Non Relative",3.34615384615385,1997
"1503",2330032,181.25,NA,NA,1997
"1504",2335032,0,NA,NA,1997
"1505",2341031,0,NA,NA,1997
"1506",2341032,0,NA,NA,1997
"1507",2341033,75,"Family Center",7.5,1997
"1508",2341034,75,NA,NA,1997
"1509",2352031,0,NA,NA,1997
"1510",2352032,0,NA,NA,1997
"1511",2353030,0,NA,0,1997
"1512",2353035,36,"Family Center",3,1997
"1513",2354034,0,NA,NA,1997
"1514",2354035,0,"Relative",0,1997
"1515",2354036,50,NA,NA,1997
"1516",2355033,50,"Family Center",5,1997
"1517",2355176,50,"Family Center",5,1997
"1518",2379031,30,"Family Center",5,1997
"1519",2379032,30,"Non Relative",5,1997
"1520",2379033,50,NA,NA,1997
"1521",2383173,0,NA,NA,1997
"1522",2383174,0,NA,NA,1997
"1523",2392032,0,NA,NA,1997
"1524",2392033,50,"Family Center",25,1997
"1525",2392034,0,NA,NA,1997
"1526",2392035,5,"Family Center",25,1997
"1527",2392036,80,NA,NA,1997
"1528",2392037,80,NA,NA,1997
"1529",2393030,0,NA,NA,1997
"1530",2393031,0,NA,NA,1997
"1531",2397037,0,NA,NA,1997
"1532",2397038,0,NA,NA,1997
"1533",2409031,0,NA,NA,1997
"1534",2409032,0,NA,NA,1997
"1535",2409033,100,"Non Relative",2.5,1997
"1536",2409175,100,"Non Relative",2.5,1997
"1537",2410031,0,NA,NA,1997
"1538",2410032,0,NA,NA,1997
"1539",2410033,0,NA,NA,1997
"1540",2411171,0,NA,NA,1997
"1541",2411172,0,NA,NA,1997
"1542",2411173,60,"Care Center",2.34461538461538,1997
"1543",2411174,120,"Family Center",2.22222222222222,1997
"1544",2412033,0,NA,NA,1997
"1545",2416034,0,"Relative",0,1997
"1546",2416035,0,NA,NA,1997
"1547",2416036,0,NA,NA,1997
"1548",2417175,47,"Before/After School Prog.",11.75,1997
"1549",2417176,115,NA,NA,1997
"1550",2418034,30,"Family Center",1.25,1997
"1551",2422035,15,"Before/After School Prog.",1.5,1997
"1552",2422036,15,"Before/After School Prog.",1.5,1997
"1553",2427034,0,"Relative",0,1997
"1554",2427035,0,"Relative",0,1997
"1555",2432038,0,NA,NA,1997
