ER30001,ER30002,ER33401,ER33402,ER33403,CHREL97,Q1H14,Q1H18,Q1H19,Q1H21,Q1H21A,Q1H22,Q1H22A,ER33601,ER33602,ER33603,CHREL,Q21C12,Q21C13,Q21C15A,Q21C15B,Q21H23A,Q21H23A1,Q21H23B,Q21H23B1,Q21H23C,Q21H23C1,Q21H23D,Q21H23D1,Q21H23H,Q21H23H1,ER33901,ER33902,ER33903,PCHREL07,Q31C12,Q31C13,Q31C15A,Q31C15B
2509,42,2754,4,30,2,0,0,0,0,0,0,0,1450,4,30,4,0,0,0,0,1,100,5,0,1,20,1,200,1,750,5528,3,30,3,0,0,0,0
2509,43,3420,3,30,2,0,0,0,0,0,0,0,2305,3,30,4,0,0,0,0,1,100,1,1000,1,30,1,300,1,1500,3504,3,30,3,0,0,0,0
2510,33,5076,3,30,2,10,5,45,120,3,1,1,6473,3,30,4,0,15,100,3,1,500,5,0,1,100,1,700,1,2500,3633,3,30,,,,,
2510,34,3223,3,30,2,0,0,0,0,0,0,0,395,3,30,4,0,0,0,0,1,1000,1,750,1,50,1,750,1,1300,3606,3,30,3,0,0,0,0
2510,35,5076,4,30,2,0,0,0,0,0,0,0,6473,4,30,4,0,10,100,3,1,50,5,0,1,100,1,800,1,2500,3633,4,30,,,,,
2510,36,3223,4,30,2,0,0,0,0,0,0,0,395,4,30,4,0,0,0,0,1,1000,1,750,1,50,1,2000,1,1350,3606,4,30,3,0,0,0,0
2515,38,5924,3,33,2,0,0,0,0,0,0,0,1994,3,33,4,0,0,0,0,1,500,5,0,1,200,1,350,1,99998,0,0,0,,,,,
2515,40,3492,3,30,2,0,0,0,0,0,0,0,1421,3,30,4,0,15,25,3,1,200,1,1200,1,200,1,300,1,1000,0,0,0,,,,,
2515,41,5924,4,33,2,0,0,0,0,0,0,0,1994,4,33,4,0,0,0,0,1,500,5,0,1,200,1,300,1,99998,0,0,0,,,,,
2516,31,3826,3,30,2,0,0,0,0,0,0,0,1902,3,30,4,0,0,0,0,1,99999,8,0,5,0,5,0,1,99998,2155,2,22,,,,,
2516,32,3364,2,30,2,9,5,15,0,0,0,0,1853,2,30,4,0,112,0,0,1,500,1,500,1,120,1,300,1,5200,1864,2,60,,,,,
2516,33,3364,3,30,2,0,0,0,0,0,0,0,1853,3,30,4,0,31,0,0,1,500,1,500,1,90,1,300,1,4200,2570,2,30,3,4,10,0,0
2518,33,617,2,30,2,0,0,0,0,0,0,0,5320,2,30,4,0,0,0,0,1,150,1,200,1,50,1,500,1,1080,7443,2,30,,,,,
2518,176,617,3,30,2,0,0,0,0,0,0,0,5320,3,30,4,0,0,0,0,1,150,5,0,1,50,1,500,1,1600,7443,3,30,,,,,
2524,30,5220,3,30,2,0,0,0,0,0,0,0,4600,3,30,4,0,0,0,0,1,100,1,100,1,20,1,100,1,700,41,3,30,3,4,15,0,0
2524,31,5014,3,30,2,0,0,0,0,0,0,0,3100,3,30,4,0,0,0,0,1,150,1,150,1,30,1,300,1,900,874,3,30,3,0,0,0,0
2525,30,1670,3,30,2,0,0,0,0,0,0,0,1233,3,30,4,0,4,90,5,1,2500,1,4000,1,300,1,750,1,7500,5940,3,30,,,,,
2525,177,2196,3,30,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,
2526,33,5055,4,30,2,9,5,21,0,0,0,0,1602,4,30,4,0,0,0,0,1,600,1,200,1,300,5,0,1,2600,3772,3,30,,,,,
2526,34,6053,2,30,2,5,4,12,100,5,2,9,1929,2,30,4,0,0,0,0,1,400,5,0,1,100,1,450,1,1200,6409,71,30,,,,,
2526,35,5983,3,30,2,0,0,0,0,0,0,0,6278,3,30,4,0,0,0,0,1,500,1,99999,1,100,1,700,1,1800,4217,2,30,3,0,0,0,0
2529,31,2068,4,30,2,0,0,0,0,0,0,0,621,4,30,4,0,0,0,0,1,700,1,3000,1,30,1,300,1,1000,7212,4,30,3,0,0,0,0
2530,37,3656,3,30,2,2,3,15,0,0,0,0,1392,3,30,4,0,0,0,0,1,1000,5,0,1,100,1,100,1,2500,1982,3,30,,,,,
2530,38,3656,4,30,2,0,0,0,0,0,0,0,1392,4,30,4,0,15,282,5,1,300,5,0,1,40,1,150,1,2000,1982,4,30,3,2,10,0,0
2530,186,5558,3,83,2,0,0,0,0,0,0,0,6511,3,33,,,,,,,,,,,,,,,,7897,3,30,,,,,
2532,31,2837,4,30,2,0,0,0,0,0,0,0,4140,4,30,4,0,0,0,0,1,500,5,0,1,150,1,400,1,3100,1682,1,10,,,,,
2532,32,2837,5,30,2,2,5,8,0,0,0,0,4140,5,30,4,0,0,0,0,1,400,5,0,1,100,1,300,1,3000,827,3,30,3,0,0,0,0
2538,31,1305,4,30,2,3,1,4,9999,9,2,9,5521,4,30,,,,,,,,,,,,,,,,5511,3,30,,,,,
2539,34,1997,5,30,2,0,0,0,0,0,0,0,4778,5,30,,,,,,,,,,,,,,,,5999,51,30,,,,,
2540,32,1218,3,30,2,0,0,0,0,0,0,0,6115,4,33,,,,,,,,,,,,,,,,4635,4,33,3,0,0,0,0
2540,171,1218,2,30,2,0,0,0,0,0,0,0,6115,3,33,,,,,,,,,,,,,,,,4635,3,33,3,0,0,0,0
2545,33,2867,3,30,2,0,0,0,0,0,0,0,1082,3,30,4,0,40,65,3,1,500,1,500,5,0,1,500,1,99998,5973,3,30,3,0,0,0,0
2545,34,2867,4,30,2,0,0,0,0,0,0,0,1082,4,30,4,0,21,65,3,1,1000,1,1000,1,50,1,150,1,99998,5973,4,30,3,0,0,0,0
2557,32,2257,2,30,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,
2557,33,2257,3,30,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,
2558,31,5609,3,30,2,0,0,0,0,0,0,0,7193,3,30,4,0,15,125,5,1,300,1,200,1,100,1,400,1,400,6791,3,30,3,0,0,0,0
2558,171,5609,4,33,2,7,5,10,50,3,2,9,7193,4,33,,,,,,,,,,,,,,,,6791,4,33,,,,,
2566,38,1830,3,30,2,5,3,9,150,5,1,1,1253,3,30,4,0,0,0,0,1,300,1,200,1,100,1,250,1,100,7162,3,30,3,0,0,0,0
2566,39,1830,4,30,2,0,0,0,0,0,0,0,1253,4,30,4,1,1,9999,0,1,100,1,50,1,100,1,100,1,50,7162,4,30,3,0,0,0,0
2569,37,4764,2,30,2,2,5,40,0,0,0,0,4220,3,33,4,0,0,0,0,1,700,1,200,1,50,1,400,1,1200,2647,1,10,,,,,
2569,38,4764,3,30,2,0,0,0,0,0,0,0,4220,4,33,4,0,0,0,0,1,1200,1,200,1,50,1,500,1,1200,1241,2,30,,,,,
2576,33,1261,6,30,2,4,1,1,0,0,0,0,657,6,30,4,0,0,0,0,1,100,1,150,1,100,1,400,1,480,3584,5,30,,,,,
2576,34,1261,7,30,2,0,0,0,0,0,0,0,657,7,30,4,0,0,0,0,1,150,1,800,1,25,1,350,1,2800,3584,4,30,3,2,4,0,0
2577,30,4828,3,30,2,0,0,0,0,0,0,0,3239,3,30,4,0,0,0,0,1,400,1,500,1,50,1,400,1,750,6291,3,30,3,0,0,0,0
2577,31,4828,4,30,2,0,0,0,0,0,0,0,3239,4,30,4,0,4,0,0,1,500,1,600,1,50,1,500,1,2500,6291,4,30,3,0,0,0,0
2578,180,3448,3,30,2,0,0,0,0,0,0,0,696,3,30,4,0,25,270,5,1,500,1,1000,1,50,1,500,1,1500,6267,2,30,3,0,0,0,0
2586,32,4543,5,30,2,0,0,0,0,0,0,0,6166,5,30,4,0,0,0,0,1,50,5,0,1,50,1,400,1,2000,5839,51,30,,,,,
2586,34,4543,6,30,2,0,0,0,0,0,0,0,6166,6,30,4,0,0,0,0,1,100,5,0,1,75,1,300,1,550,5839,3,30,3,0,0,0,0
2586,35,4937,3,30,2,0,0,0,0,0,0,0,6242,3,30,4,0,4,38,3,1,700,1,1000,1,125,1,1200,1,700,4384,3,30,3,0,0,0,0
2590,40,2259,3,30,2,0,0,0,0,0,0,0,2285,3,30,4,0,0,0,0,1,500,1,5000,1,400,1,1000,1,5200,3028,3,30,,,,,
2590,41,2558,3,30,2,0,0,0,0,0,0,0,6323,3,33,4,0,20,0,0,5,0,1,400,1,50,1,700,1,400,884,3,33,3,4,15,300,5
2590,42,2558,4,30,2,0,0,0,0,0,0,0,6323,4,33,4,0,20,0,0,5,0,1,300,1,60,1,600,1,400,884,4,33,3,4,15,300,5
2590,43,2259,4,30,2,0,0,0,0,0,0,0,2285,4,30,4,0,0,0,0,1,500,1,5000,1,200,1,700,1,5200,3028,4,30,3,0,0,0,0
2591,35,670,3,30,2,0,0,0,0,0,0,0,1344,3,30,4,0,0,0,0,1,600,1,400,1,40,1,700,8,0,5328,3,30,3,0,0,0,0
2593,33,3041,3,30,2,0,0,0,0,0,0,0,4656,3,33,4,0,0,0,0,1,400,5,0,1,150,1,600,1,1200,1654,3,33,3,0,0,0,0
2594,30,740,2,30,2,0,0,0,0,0,0,0,2054,2,30,4,0,4,0,0,1,500,1,200,1,75,1,300,1,1100,155,2,30,,,,,
2599,174,3902,3,30,2,0,0,0,0,0,0,0,6069,3,30,4,0,0,0,0,1,250,1,200,1,800,1,300,1,1400,4098,3,30,3,0,0,0,0
2599,175,3902,4,30,2,0,0,0,0,0,0,0,6069,4,30,4,0,0,0,0,1,250,1,200,1,500,1,300,1,1400,4098,4,30,3,0,0,0,0
2601,33,4461,3,30,2,0,0,0,0,0,0,0,6297,3,30,,,,,,,,,,,,,,,,7180,2,30,,,,,
2601,34,866,4,30,2,9,1,3,0,0,0,0,2601,4,33,4,0,0,0,0,1,900,1,1000,1,50,1,200,1,1000,3835,1,10,,,,,
2601,36,866,5,30,2,9,1,3,0,0,0,0,2601,5,33,4,0,0,0,0,1,800,1,1000,1,30,1,200,1,1000,2495,4,33,,,,,
2601,38,4461,4,30,2,0,0,0,0,0,0,0,6297,4,30,,,,,,,,,,,,,,,,7180,3,30,,,,,
2603,32,4901,5,30,2,2,5,5,0,0,0,0,1143,4,30,4,0,0,0,0,1,600,1,300,1,200,1,200,1,500,3757,2,22,,,,,
2603,33,5154,5,30,2,0,0,0,0,0,0,0,4075,4,30,4,0,15,150,4,1,300,1,500,1,50,1,100,1,900,5587,4,30,3,8,6,0,0
2603,179,5154,4,30,2,5,5,10,75,3,1,1,4075,3,30,4,0,5,75,4,1,1000,1,600,1,15,1,100,1,600,5587,3,30,3,0,0,0,0
2607,30,5968,3,30,2,0,0,0,0,0,0,0,701,3,30,4,0,8,0,0,1,200,1,100,1,30,1,200,1,2920,4790,3,30,3,0,0,0,0
2610,32,4588,3,30,2,0,0,0,0,0,0,0,672,3,30,4,0,0,0,0,1,300,1,500,1,10,1,300,1,500,6216,3,30,3,0,0,0,0
2611,37,2950,3,30,2,0,0,0,0,0,0,0,2416,3,30,,,,,,,,,,,,,,,,6491,3,30,3,0,0,0,0
2611,38,2950,4,30,2,0,0,0,0,0,0,0,2416,4,30,,,,,,,,,,,,,,,,6491,4,30,3,0,0,0,0
2613,30,276,3,33,2,0,0,0,0,0,0,0,88,3,33,4,0,0,0,0,1,1000,1,500,1,9999,1,300,1,2000,3390,51,33,,,,,
2613,31,276,4,33,2,0,0,0,0,0,0,0,88,4,33,4,0,0,0,0,1,1000,1,500,1,100,1,900,1,2000,3390,72,33,,,,,
2615,46,3054,4,30,2,2,2,6,0,0,0,0,3951,3,30,4,0,0,0,0,1,500,1,400,1,100,1,300,1,1000,530,51,30,,,,,
2615,47,5063,4,30,2,0,0,0,0,0,0,0,4327,4,30,4,0,0,0,0,1,150,1,500,1,75,1,400,1,1200,2784,4,30,,,,,
2615,48,2089,8,30,2,0,0,0,0,0,0,0,4329,5,30,,,,,,,,,,,,,,,,0,0,0,,,,,
2615,49,5063,5,30,2,0,0,0,0,0,0,0,4327,5,30,4,0,0,0,0,1,150,1,500,1,40,1,300,1,1200,2784,5,30,3,0,0,0,0
2618,32,4704,3,30,2,0,0,0,0,0,0,0,4779,3,30,4,0,0,0,0,1,300,1,40,1,50,1,100,1,600,5453,3,30,3,0,0,0,0
2618,33,4704,4,30,2,0,0,0,0,0,0,0,4779,4,30,4,0,0,0,0,1,300,1,40,1,20,1,50,1,600,5453,4,30,3,0,0,0,0
2618,34,4665,3,30,2,0,0,0,0,0,0,0,430,3,30,4,0,0,0,0,1,300,1,1000,1,200,1,600,1,1200,5679,3,30,3,2,4,10,1
