ER30001,ER30002,ER33601,ER33602,ER33603,CHREL,Q21B12_2,Q21B12A1,Q21B12A2,Q21G5,Q21G5D,Q21G7A,Q21G7C,Q21G8F,Q21G8I,Q21G10,Q21G10C,Q21H5,Q21H5C,Q21H6,Q21H6B,Q21H7B,Q21H7F,Q21H8,Q21H8B
18,40,2802,4,30,4,5,0,0,5,0,5,0,1,200,5,0,0,0,0,0,0,0,0,0
18,41,3313,4,30,4,5,0,0,5,0,5,0,5,25,5,0,0,0,0,0,0,0,0,0
18,189,3310,3,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
22,30,6375,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,5,0
22,31,6376,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,300,5,0
22,176,6769,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,200,5,0
39,31,2120,3,30,4,5,0,0,5,0,1,480,5,0,1,75,0,0,0,0,0,0,0,0
40,35,5975,2,60,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,300,5,0
45,32,1449,3,60,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
45,34,1709,3,33,4,5,0,0,5,0,5,0,5,200,5,0,0,0,0,0,0,0,0,0
47,34,323,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,28,5,0,5,0
47,35,4285,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,200,5,0
47,36,323,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,28,5,0,5,0
47,37,5744,3,35,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,225,5,40,5,0
47,38,5744,4,35,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,300,5,0
47,39,4285,4,30,4,5,0,0,5,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0
47,40,2576,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,32,972,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,250,5,0
50,33,972,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,100,5,0
50,34,3800,3,30,4,5,0,0,5,0,5,0,1,700,1,25,0,0,0,0,0,0,0,0
50,35,3800,4,30,4,5,0,0,5,0,1,600,5,0,1,20,0,0,0,0,0,0,0,0
51,31,4716,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
51,32,4716,4,30,4,1,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
53,35,1096,3,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,520,5,0,5,0
53,36,466,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,0,5,0
53,38,1878,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
53,40,1878,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
53,41,5663,4,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,375,5,0,5,0
53,42,1161,4,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
53,205,5478,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,36,704,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,540,5,0,5,0
60,37,704,4,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
61,32,2206,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,150,1,1000
61,34,2206,5,30,4,5,0,0,5,0,5,0,1,50,5,0,0,0,0,0,0,0,0,0
61,35,1468,3,30,4,1,2520,6,5,0,1,995,5,0,1,50,0,0,0,0,0,0,0,0
68,30,1189,3,30,4,1,4200,6,5,0,1,60,5,60,5,0,0,0,0,0,0,0,0,0
79,32,6392,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,150,5,0,5,0
84,33,262,3,30,4,1,1700,6,0,0,0,0,0,0,0,0,1,600,5,0,5,0,5,0
84,34,6941,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,50,5,0
84,35,6941,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,5,0
88,35,6646,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,1,0
88,36,6646,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
89,34,1730,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
89,35,1469,3,30,4,1,506.25,6,5,0,5,0,5,50,5,0,0,0,0,0,0,0,0,0
90,30,1800,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,254,5,0,1,50
90,31,494,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1000,5,0
90,32,494,4,30,4,5,0,0,5,0,1,350,5,100,5,0,0,0,0,0,0,0,0,0
91,31,588,3,30,4,5,0,0,5,0,1,30,5,80,5,0,0,0,0,0,0,0,0,0
91,32,588,4,30,4,5,0,0,5,0,5,0,5,40,5,0,0,0,0,0,0,0,0,0
96,31,359,3,30,4,1,7000,6,0,0,0,0,0,0,0,0,5,0,5,0,1,0,5,0
96,32,359,4,30,4,5,0,0,0,0,0,0,0,0,0,0,1,75,5,0,1,100,1,0
96,33,4773,3,30,4,1,3000,6,5,0,1,0,1,1270,1,80,0,0,0,0,0,0,0,0
99,32,6720,2,30,4,5,0,0,5,0,5,0,5,0,1,35,0,0,0,0,0,0,0,0
99,33,6720,3,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
105,35,5317,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
106,31,4212,2,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,400,1,400
106,32,4212,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,240,1,1000
114,33,243,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
114,34,2345,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,100,5,0,1,0
117,31,789,3,30,4,5,0,0,5,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0
117,32,789,4,30,4,5,0,0,5,0,1,9999,5,0,1,0,0,0,0,0,0,0,0,0
121,30,893,3,30,4,1,4500,6,0,0,0,0,0,0,0,0,5,0,5,0,5,300,1,0
121,32,631,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,1000,5,0
121,33,631,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
121,36,893,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,500,5,0,1,20
121,37,804,3,30,4,1,2300,6,5,0,5,0,1,1800,5,0,0,0,0,0,0,0,0,0
122,36,309,4,30,4,1,1500,6,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
122,37,6291,3,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
122,174,309,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,42,5,0
126,30,1992,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,5,0
128,30,6907,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,450,5,0,5,0
128,31,6907,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
129,41,4893,4,30,4,5,0,0,5,0,5,0,5,70,5,0,0,0,0,0,0,0,0,0
129,197,4893,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,400,1,0
134,30,891,4,30,4,5,0,0,5,0,1,150,5,0,5,0,0,0,0,0,0,0,0,0
134,31,891,5,30,4,5,0,0,5,0,1,1700,5,0,5,0,0,0,0,0,0,0,0,0
138,32,710,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,20,5,0
138,33,710,3,30,4,5,0,0,5,0,1,200,5,0,1,400,0,0,0,0,0,0,0,0
145,30,366,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,3200,5,0
145,31,366,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,850,5,0
151,37,4616,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,1000,5,0
151,38,4616,6,30,4,5,0,0,5,0,5,0,5,700,1,20,0,0,0,0,0,0,0,0
165,32,4695,4,30,4,1,5800,6,0,0,0,0,0,0,0,0,5,0,1,2130,5,0,1,0
166,33,6171,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,100,5,0
172,36,601,3,35,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
173,35,5323,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
173,36,1487,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,100,1,150
173,37,5323,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,75,5,0
173,38,1117,5,30,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
173,39,1487,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,300,1,15,1,9999
173,40,1117,6,30,4,0,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
174,33,727,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,100,5,0,5,0
174,36,727,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,300,1,60,5,0
174,37,5247,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,0,5,0
174,40,5247,4,30,4,5,0,0,5,0,5,0,1,30,5,0,0,0,0,0,0,0,0,0
178,33,3565,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,380,5,0,5,0
178,34,3565,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,460,5,0,5,0
180,30,2530,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,150,5,0
180,32,2530,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,75,5,0
181,31,4452,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1200,5,0,5,0
181,32,4452,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1200,5,0,5,0
195,30,32,3,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,160,5,0
195,31,32,4,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1500,5,0
203,31,3477,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,2000,1,8000,1,250
203,33,3477,5,30,4,5,0,0,5,0,5,0,1,200,1,100,0,0,0,0,0,0,0,0
209,30,2823,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
220,30,2012,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,5,0
221,32,3543,3,30,4,5,0,0,5,0,5,0,1,400,1,100,0,0,0,0,0,0,0,0
228,31,2939,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,2000,1,0
228,32,361,3,30,4,1,17800,6,0,0,0,0,0,0,0,0,5,0,1,500,5,200,5,0
236,32,602,3,30,4,5,0,0,1,800,1,1400,5,250,5,0,0,0,0,0,0,0,0,0
245,34,5963,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
246,31,879,4,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,450,5,0
250,31,235,4,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,5,0
250,32,235,3,33,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
257,37,2184,3,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
257,39,2184,5,33,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
257,40,134,3,30,4,5,0,0,5,0,1,0,5,100,1,100,0,0,0,0,0,0,0,0
263,38,1239,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,300,1,100
266,35,1508,3,30,4,1,2800,6,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
280,32,3989,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,21,5,0,5,0,5,0
280,33,3989,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,520,5,0,5,0
284,30,1178,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,150,5,0
284,31,1178,4,30,4,5,0,0,5,0,5,0,5,100,5,0,0,0,0,0,0,0,0,0
297,48,1107,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,5,0
302,36,136,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,780,5,0,1,100
302,37,136,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
308,37,1912,4,30,4,1,7000,6,0,0,0,0,0,0,0,0,1,1000,5,0,5,300,5,0
311,32,2942,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
311,33,2942,3,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
315,30,491,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,50,1,30
319,31,892,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
319,32,2722,3,30,4,1,2500,6,5,0,5,0,5,1200,5,0,0,0,0,0,0,0,0,0
321,32,419,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,9999,1,30
321,176,852,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
321,177,852,6,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
323,32,5515,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,2300,1,250,5,0
323,33,5515,4,30,4,5,0,0,5,0,1,720,5,250,5,0,0,0,0,0,0,0,0,0
323,34,4230,3,30,4,5,0,0,5,0,5,0,5,150,1,150,0,0,0,0,0,0,0,0
327,33,3772,3,30,4,5,0,0,5,0,1,225,1,100,5,0,0,0,0,0,0,0,0,0
343,32,478,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,500,1,200
343,33,478,4,30,4,1,4500,6,5,0,5,0,5,200,1,100,0,0,0,0,0,0,0,0
344,31,7113,4,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
344,32,7113,5,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
344,33,2472,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,300,1,3000
344,34,2472,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,100,1,200
350,30,277,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,700,1,50,5,0
350,31,277,4,30,4,9,0,0,5,0,1,300,5,25,5,0,0,0,0,0,0,0,0,0
351,37,772,3,30,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
351,38,717,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
351,39,6604,3,30,4,5,0,0,5,0,1,180,1,75,5,0,0,0,0,0,0,0,0,0
354,31,4203,3,30,4,5,0,0,1,3765,5,0,1,180,1,50,0,0,0,0,0,0,0,0
355,31,4214,3,33,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,400,5,0
355,32,1002,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,60,1,50
355,33,1002,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,294,5,400,1,20
356,31,4924,3,30,4,5,0,0,5,0,5,0,1,8,1,20,0,0,0,0,0,0,0,0
356,32,7324,4,30,4,5,0,0,5,0,5,0,5,15,5,0,0,0,0,0,0,0,0,0
361,176,1136,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
368,32,4169,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,900,5,0,1,100
374,30,680,3,30,4,5,0,0,5,0,1,480,1,150,1,720,0,0,0,0,0,0,0,0
377,30,1600,3,30,4,5,0,0,5,0,5,0,5,500,5,0,0,0,0,0,0,0,0,0
377,31,1600,4,30,4,5,0,0,5,0,5,0,1,100,5,0,0,0,0,0,0,0,0,0
391,31,2554,4,30,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
391,32,6594,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,1000,5,0
404,33,6619,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,75,5,0
404,35,6619,5,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
409,33,6486,3,30,4,5,0,0,5,0,1,400,1,50,5,0,0,0,0,0,0,0,0,0
414,38,1907,4,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,25,1,350,1,75
414,39,370,4,30,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
419,34,24,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
419,35,24,2,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,5,0
419,36,3,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
419,37,3,3,30,4,5,0,0,1,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
428,32,520,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,3500,5,100,1,50
432,32,4767,2,30,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,200,5,0
433,38,1111,4,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
433,40,1111,5,30,4,5,0,0,1,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
452,37,1428,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,50,5,0
452,38,1821,2,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
455,34,5295,3,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
459,31,2782,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,800,5,0
465,33,4537,3,35,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,5,0
465,34,4537,4,35,4,5,0,0,5,0,5,0,5,50,5,0,0,0,0,0,0,0,0,0
473,35,138,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
473,36,5090,3,30,4,5,0,0,5,0,5,0,1,200,1,100,0,0,0,0,0,0,0,0
478,38,6598,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,53,5,0
478,39,6598,3,30,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,40,5,0
478,40,7300,3,30,4,5,0,0,5,0,1,85,5,30,5,0,0,0,0,0,0,0,0,0
479,30,7429,3,30,4,5,0,0,9,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0
479,31,7429,4,30,4,5,0,0,5,0,5,0,1,550,5,0,0,0,0,0,0,0,0,0
486,30,5525,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,200,1,0
486,31,613,3,30,4,1,495,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,35,527,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,1,20
490,32,4687,3,30,4,5,0,0,5,0,5,0,1,70,1,50,0,0,0,0,0,0,0,0
495,34,1846,4,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
495,35,1846,3,33,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
495,36,1057,3,30,4,5,0,0,5,0,5,0,9,60,1,0,0,0,0,0,0,0,0,0
496,31,7279,3,30,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,32,5796,4,30,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,31,1892,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,720,1,1000,1,0
508,32,1892,4,30,4,5,0,0,0,0,0,0,0,0,0,0,1,70,1,500,5,500,1,40
508,33,5739,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,80,1,27
510,31,3166,3,30,4,5,0,0,5,0,5,0,5,120,5,0,0,0,0,0,0,0,0,0
517,30,1013,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,500,1,2000,1,75
517,31,1013,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,100,1,7200,5,0
517,32,1112,3,60,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,100,5,0
517,33,594,3,30,4,1,1400,6,0,0,0,0,0,0,0,0,5,0,1,1000,1,1000,1,600
517,34,594,4,30,4,1,1400,6,5,0,5,0,1,1000,1,600,0,0,0,0,0,0,0,0
534,32,1423,3,30,4,5,0,0,5,0,5,0,1,75,5,0,0,0,0,0,0,0,0,0
544,32,659,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,300,5,0,5,0
548,36,3600,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,25,5,0,1,0
548,37,979,3,30,4,5,0,0,5,0,5,0,1,800,5,0,0,0,0,0,0,0,0,0
548,38,979,4,30,4,5,0,0,1,180,5,0,1,90,1,100,0,0,0,0,0,0,0,0
548,39,547,4,30,4,5,0,0,5,0,5,0,5,500,1,200,0,0,0,0,0,0,0,0
548,40,547,5,30,4,5,0,0,5,0,5,0,5,100,5,0,0,0,0,0,0,0,0,0
556,37,6499,3,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
557,176,4882,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,5,0
557,177,4882,4,30,4,5,0,0,1,0,1,0,5,0,5,0,0,0,0,0,0,0,0,0
563,43,5411,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,2500,5,0
563,45,5411,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,1500,5,0
563,47,4965,3,35,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,34,4031,3,60,4,5,0,0,1,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
565,32,6709,3,30,4,5,0,0,0,0,0,0,0,0,0,0,1,1000,5,0,1,800,1,300
565,34,6709,4,30,4,5,0,0,5,0,5,0,1,600,1,150,0,0,0,0,0,0,0,0
570,35,1066,4,30,4,9,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
570,36,1066,5,30,4,5,0,0,5,0,1,0,5,0,1,300,0,0,0,0,0,0,0,0
573,33,3644,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1000,5,0,5,0
573,35,3644,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,2500,5,0,5,0
577,32,482,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
581,172,5705,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
581,173,5705,2,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
582,32,801,3,30,4,1,6800,6,0,0,0,0,0,0,0,0,5,0,5,0,5,300,1,100
582,33,801,4,30,4,1,3000,6,0,0,0,0,0,0,0,0,5,0,5,0,1,1000,1,100
582,34,883,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,40,1,600,5,0
593,30,218,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1200,5,250,1,0
593,31,818,3,30,4,5,0,0,5,0,1,700,5,0,1,200,0,0,0,0,0,0,0,0
593,33,218,5,30,4,5,0,0,5,0,1,350,1,120,5,0,0,0,0,0,0,0,0,0
597,35,3481,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0
597,36,3481,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,25,5,0
602,34,460,3,60,4,1,1500,6,0,0,0,0,0,0,0,0,5,0,1,1000,5,400,5,0
602,35,4622,3,30,4,5,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
605,31,4513,3,30,4,1,3000,6,5,0,1,1200,5,50,1,50,0,0,0,0,0,0,0,0
607,42,1173,5,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,300,5,0,5,0
608,186,1191,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,200,5,0
610,33,4692,3,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,0,5,0
613,31,2552,3,30,4,5,0,0,5,0,1,1200,5,0,1,50,0,0,0,0,0,0,0,0
620,33,1391,4,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,200,1,200
620,35,1391,5,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,420,5,300,1,100
620,37,1390,3,30,4,5,0,0,0,0,0,0,0,0,0,0,5,0,1,960,5,150,1,900
620,39,1390,4,30,4,5,0,0,1,0,1,960,1,250,1,50,0,0,0,0,0,0,0,0
624,172,283,4,33,4,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,400,1,500
