"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"1850",3345003,2007,0.961538461538462,0.0192307692307692,0.961538461538462,3.84615384615385,NA,0,0,0,0,0
"1851",3345005,2007,0.961538461538462,3.84615384615385,0.961538461538462,3.84615384615385,NA,0,0,0,0,0
"1852",3346003,2007,0.961538461538462,0,5.76923076923077,5.76923076923077,NA,0,0,0,0,0
"1853",3347005,2007,1.92307692307692,0,1.92307692307692,5.76923076923077,NA,0.769230769230769,0,0,0,0
"1854",3348006,2007,3.84615384615385,19.2307692307692,5.76923076923077,3.84615384615385,NA,5.76923076923077,19.2307692307692,0,0,0
"1855",3349003,2007,4.80769230769231,0,2.88461538461538,23.0769230769231,NA,0,0,0,0,0
"1856",3349004,2007,4.80769230769231,0,2.88461538461538,19.2307692307692,NA,0.384615384615385,0,0,0,44.2307692307692
"1858",3353003,2007,19.2307692307692,28.8461538461538,5.76923076923077,11.5384615384615,NA,0,23.0769230769231,0,0,0
"1859",3353004,2007,11.5384615384615,19.2307692307692,3.84615384615385,19.2307692307692,NA,0,23.0769230769231,0,0,0
"1860",3356006,2007,5.76923076923077,28.8461538461538,3.84615384615385,48.0769230769231,NA,0,0,0,0,0
"1861",3360002,2007,1.53846153846154,0,0.480769230769231,3.26923076923077,NA,1.15384615384615,0,0,0,0
"1862",3360003,2007,1.15384615384615,0,0.769230769230769,5.76923076923077,NA,1.53846153846154,0,0,0,0
"1864",3365005,2007,9.61538461538461,0,1.92307692307692,9.61538461538461,NA,0,0,0,0,0
"1865",3367003,2007,7.69230769230769,0,3.84615384615385,15.3846153846154,NA,0,0,0,0,0
"1866",3367004,2007,5.76923076923077,0,2.88461538461538,9.61538461538461,NA,0,0,0,0,0
"1867",3368007,2007,5.76923076923077,0,1.53846153846154,9.61538461538461,NA,0,0,0,0,0
"1868",3368008,2007,2.88461538461538,0,1.34615384615385,5.76923076923077,NA,0,0,0,0,0
"1870",3369007,2007,3.84615384615385,9.61538461538461,0.576923076923077,5.76923076923077,NA,0,0,0,0,0
"1873",3373003,2007,1.92307692307692,9.61538461538461,0.576923076923077,8.65384615384615,NA,0,1.53846153846154,0,0,0
"1874",3373004,2007,1.53846153846154,9.61538461538461,0.576923076923077,7.11538461538461,NA,0,0,0,0,0
"1875",3374005,2007,5.76923076923077,NA,3.84615384615385,9.61538461538461,NA,1.92307692307692,0,0,0,0
"1877",3375006,2007,0,0,0,5.76923076923077,NA,0,0,0,0,0
"1879",3376007,2007,0,0,0.769230769230769,5.76923076923077,NA,0,0,0,0,0
"1881",3378004,2007,9.61538461538461,9.61538461538461,3.84615384615385,19.2307692307692,NA,0,0,0,0,0
"1885",3386004,2007,7.69230769230769,19.2307692307692,7.69230769230769,9.61538461538461,NA,0,0,0,0,86.5384615384615
"1886",3387003,2007,9.61538461538461,38.4615384615385,7.69230769230769,57.6923076923077,NA,0,14.4230769230769,0,0,69.2307692307692
"1888",3390003,2007,1.92307692307692,0,3.84615384615385,11.5384615384615,NA,0,0,0,0,0
"1889",3397003,2007,0,0,0,19.2307692307692,NA,0,0,0,0,0
"1890",3397007,2007,9.61538461538461,19.2307692307692,1.92307692307692,7.69230769230769,NA,0,0,0,0,0
"1891",3404003,2007,NA,0,NA,NA,NA,0,0,0,0,0
"1892",3404004,2007,NA,0,NA,NA,NA,0,0,0,0,0
"1893",3407003,2007,1.34615384615385,0,1.92307692307692,5.76923076923077,NA,0,0,0,0,0
"1894",3407004,2007,0.384615384615385,0,1.44230769230769,5.76923076923077,NA,0,0,0,0,0
"1896",3409003,2007,7.69230769230769,0,2.01923076923077,6.73076923076923,NA,0,0,0,0,0
"1897",3409004,2007,0,0,1.15384615384615,7.69230769230769,NA,1.92307692307692,0,0,0,0
"1898",3416003,2007,0,1.92307692307692,1.92307692307692,9.61538461538461,NA,0,0,0,0,0
"1899",3417003,2007,NA,0,NA,19.2307692307692,NA,0,0,0,0,0
"1902",3422003,2007,13.4615384615385,38.4615384615385,1.92307692307692,9.61538461538461,NA,1.92307692307692,0,0,0,0
"1903",3422004,2007,5.76923076923077,19.2307692307692,1.92307692307692,3.84615384615385,NA,0,25,0,0,0
"1907",3437007,2007,0,0,0.769230769230769,NA,NA,0,0,0,0,0
"1909",3441005,2007,3.84615384615385,0,3.84615384615385,5.76923076923077,NA,0,0,0,0,0
"1912",5012177,2007,3.84615384615385,0,3.84615384615385,NA,NA,3.84615384615385,0,0,0,0
"1913",5014040,2007,5.76923076923077,0,0.961538461538462,2.88461538461538,NA,0,9.61538461538461,0,0,11.5384615384615
"1915",5015036,2007,NA,NA,NA,NA,NA,0,0,0,0,38.4615384615385
"1916",5015177,2007,NA,NA,1.92307692307692,NA,NA,0,0,0,0,38.4615384615385
"1918",5016034,2007,4.80769230769231,0,2.5,2.88461538461538,NA,6.73076923076923,0,0,0,0
"1919",5017032,2007,5.76923076923077,0,1.92307692307692,9.61538461538461,NA,0,0,0,0,0
"1920",5018033,2007,5.76923076923077,0,1.34615384615385,13.4615384615385,NA,0,0,0,0,0
