ER30001,ER30002,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCGID_07,PCGPN_07,OCGID_07,OCGPN_07
1242,38,1242,6,1242,178,1242,6,,,1242,6,,
1242,39,1242,177,1242,5,1242,177,1242,5,1242,177,1242,5
1254,30,1254,170,1254,173,1254,170,,,,,,
1258,30,1258,3,1258,170,1258,3,1258,170,1258,3,1258,170
1258,31,1258,3,1258,170,1258,3,1258,170,1258,3,1258,170
1258,32,1258,171,1258,5,1258,171,1258,175,1258,171,1258,175
1258,33,1258,172,1258,4,1258,172,1258,4,1258,172,1258,4
1258,34,1258,171,1258,5,1258,171,1258,175,1258,171,1258,175
1260,43,1260,39,1260,184,1260,39,1260,171,1260,39,,
1266,30,1266,2,1266,173,,,,,,,,
1266,31,1266,2,1266,173,1266,2,1266,173,,,,
1269,33,1269,171,1269,3,,,,,,,,
1274,32,1274,3,,,,,,,,,,
1274,33,1274,3,,,1274,3,1274,172,1274,3,1274,172
1281,34,1281,172,1281,5,1281,5,1281,172,,,,
1281,35,1281,4,1281,173,1281,173,1281,4,,,,
1281,36,1281,4,1281,173,1281,173,1281,4,,,,
1284,31,1284,170,1284,3,1284,170,1284,3,,,,
1284,32,1284,170,1284,3,1284,170,1284,3,,,,
1285,30,1285,5,1285,171,1285,5,1285,171,,,,
1285,31,1285,4,1285,172,1285,4,1285,172,,,,
1285,32,1285,5,1285,171,1285,5,1285,171,,,,
1285,33,1285,4,1285,172,1285,4,1285,172,1285,4,1285,172
1286,32,1286,4,1286,171,1286,4,1286,171,,,,
1286,33,1286,4,1286,171,,,,,,,,
1286,175,1286,173,1286,5,,,,,,,,
1290,34,1290,174,1290,21,1290,21,1290,174,,,,
1290,35,1290,174,1290,21,1290,21,1290,174,,,,
1292,32,1292,4,1292,176,1292,4,1292,176,,,,
1298,31,1298,5,1298,171,1298,5,1298,171,,,,
1298,32,1298,172,,,1298,172,1298,177,,,,
1298,33,1298,5,1298,171,1298,5,1298,171,,,,
1302,37,1302,3,1302,178,1302,3,1302,178,,,,
1303,32,1303,173,1303,4,1303,173,1303,4,1303,4,,
1303,33,1303,173,1303,4,1303,173,1303,4,1303,4,,
1306,31,1306,170,1306,3,1306,3,1306,170,,,,
1315,32,1315,4,1315,170,1315,4,1315,170,,,,
1315,33,1315,4,1315,170,1315,4,1315,170,1315,4,1315,170
1315,34,1315,5,,,1315,5,,,1315,5,,
1315,35,1315,5,,,1315,5,,,1315,5,,
1315,36,1315,30,1315,174,1315,30,1315,174,1315,30,1315,174
1315,39,1315,30,1315,174,1315,30,1315,174,1315,30,1315,174
1332,30,1332,174,1332,3,1332,174,,,1332,174,1332,183
1332,32,1332,174,1332,3,1332,174,,,1332,174,1332,183
1332,33,1332,180,1332,5,1332,180,,,1332,180,1332,184
1332,181,1332,180,,,,,,,,,,
1335,47,1335,175,1335,10,,,,,,,,
1335,48,1335,174,1335,9,1335,174,1335,9,,,,
1335,52,1335,175,1335,10,,,,,1335,175,1335,10
1335,53,1335,179,1335,31,1335,179,1335,31,1335,179,1335,31
1335,54,1335,179,1335,31,1591,171,1335,31,1335,179,1335,31
1335,56,1335,183,1335,35,1335,183,1335,35,1335,35,,
1336,33,1336,7,1336,175,,,,,,,,
1336,34,1336,7,1336,175,,,,,,,,
1336,35,1336,30,,,,,,,,,,
1342,31,1342,170,1342,3,1342,170,1342,3,,,,
1345,34,1345,6,1345,178,1345,6,1345,178,,,,
1345,35,1345,4,1345,175,1345,4,1345,175,,,,
1351,35,1351,174,1351,3,1351,174,1351,3,1351,174,1351,3
1351,36,1351,174,1351,3,1351,174,1351,3,1351,174,1351,3
1355,174,1355,5,,,1355,5,,,,,,
1363,31,1363,170,1363,3,1363,170,1363,3,,,,
1368,32,1368,1,,,1368,172,1368,174,1368,172,,
1368,175,1368,1,,,1368,1,,,,,,
1368,180,1368,179,,,,,,,,,,
1376,32,1376,170,1376,2,1376,170,,,,,,
1383,35,1383,170,1383,177,,,,,,,,
1383,36,1383,170,1383,177,,,,,,,,
1383,37,1383,31,1383,174,1383,31,1383,174,1383,174,1383,31
1383,40,1383,31,1383,174,1383,31,1383,174,1383,174,1383,31
1394,35,1394,33,,,1394,33,,,,,,
1394,36,1394,3,1394,173,1394,3,1394,173,,,,
1394,37,1394,33,,,1394,33,,,1394,33,,
1394,38,1394,3,1394,173,1394,3,1394,173,1394,3,1394,173
1394,39,1394,32,1394,183,,,,,,,,
1397,33,1397,171,1397,4,1397,171,1397,4,,,,
1397,34,1397,172,1397,5,1397,172,1397,5,,,,
1397,37,1397,171,1397,4,1397,171,1397,4,1397,171,1397,4
1397,38,1397,172,1397,5,1397,172,1397,5,,,,
1398,30,1398,5,,,,,,,,,,
1399,35,1399,174,,,1399,174,,,,,,
1399,36,1399,6,1399,178,1399,6,,,,,,
