"","ID","educ","ed","year_meas"
"80430",9266001,9,"<12",1995
"80431",9266002,12,"12",1995
"80432",9267001,12,"12",1995
"80433",9267002,11,"<12",1995
"80434",9267003,NA,NA,-1
"80435",9267004,NA,NA,-1
"80436",9268001,14,"13-15",1993
"80437",9268002,13,"13-15",1993
"80438",9268030,NA,NA,-1
"80439",9269001,12,"12",1995
"80440",9269002,12,"12",1995
"80441",9269003,17,">16",1995
"80442",9269004,14,"13-15",1995
"80443",9270001,12,"12",1992
"80444",9270002,10,"<12",1992
"80445",9270003,NA,NA,-1
"80446",9270004,10,"<12",1992
"80447",9270005,12,"12",1992
"80448",9270006,NA,NA,-1
"80449",9271001,6,"<12",1995
"80450",9271002,12,"12",1995
"80451",9271003,14,"13-15",1995
"80452",9271004,12,"12",1995
"80453",9271170,12,"12",1995
"80454",9272001,3,"<12",1993
"80455",9272002,6,"<12",1993
"80456",9272003,NA,NA,-1
"80457",9272004,NA,NA,-1
"80458",9272170,NA,NA,-1
"80459",9273001,9,"<12",1995
"80460",9273002,14,"13-15",1995
"80461",9273003,NA,NA,-1
"80462",9273004,NA,NA,-1
"80463",9273005,NA,NA,-1
"80464",9273170,12,"12",1995
"80465",9274001,8,"<12",1995
"80466",9274002,3,"<12",1995
"80467",9274003,10,"<12",1995
"80468",9274004,NA,NA,-1
"80469",9274005,NA,NA,-1
"80470",9275001,3,"<12",1992
"80471",9275002,9,"<12",1992
"80472",9275003,9,"<12",1992
"80473",9275004,10,"<12",1992
"80474",9275005,NA,NA,-1
"80475",9276001,14,"13-15",1995
"80476",9276002,1,"<12",1995
"80477",9276003,NA,NA,-1
"80478",9276004,NA,NA,-1
"80479",9276005,NA,NA,-1
"80480",9277001,8,"<12",1992
"80481",9277002,5,"<12",1992
"80482",9277003,NA,NA,-1
"80483",9277030,NA,NA,-1
"80484",9278001,3,"<12",1994
"80485",9278002,9,"<12",1994
"80486",9279001,16,"16",1994
"80487",9279002,NA,NA,-1
"80488",9279003,12,"12",1994
